	System_index	System_name	Genes	Selection_pressure	p	q	Model_input	Rank_of_model_input	Mutation_count
93	19539	GO:0097223	186 genes including: RPGR,KIAA1210,PTCHD3,DNAJB13,SLC26A3,SPACA1,TACR2,CAV1,LRGUK,CATSPER3,SKIL,IQCF1,POMT1,ATP8B3,ALDOA,SEPT6,TMEM190,ACRBP,TRIP11,STK31,TBC1D21,CATSPER4,PGAM4,CCDC172,ICA1L	0.003461	0.0395	0.5052	1.018|0.858|0.854|0.714|0.663|0.597|0.571|0.568|0.524|0.507|0.479|0.469|0.465|0.464|0.463|0.458|0.427|0.427|0.423|0.407|0.38|0.38|0.376|0.373|0.371	83|160|165|312|395|543|602|614|757|843|967|1012|1029|1033|1035|1052|1185|1185|1204|1312|1461|1461|1492|1503|1517	19|22|13|8|7|7|6|5|11|7|8|5|5|10|6|6|4|7|14|12|6|6|4|5|5
94	19498	GO:0080008	34 genes including: CDKN1B,CUL4B,DCAF17,DCAF5,DCAF11,DCAF12L1,DCAF8,DDB1,DCAF6,DCAF13,CUL4A,DET1,RNF7,PLRG1,DTL,GLMN,AL136295.3,TRPC4AP,RBX1,DDA1,DDB2,ERCC8,COP1,CRBN,FBXW5	0.000951	0.0397	0.5052	0.953|0.836|0.539|0.507|0.418|0.374|0.351|0.337|0.192|0.17|0.145|0.076|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0	115|179|706|843|1233|1500|1646|1749|3005|3225|3500|4292|18217|18217|18217|18217|18217|18217|18217|18217|18217|18217|18217|18217|18217	10|14|7|7|7|7|8|11|9|4|6|5|1|3|3|2|0|7|0|0|3|1|0|2|1
95	18582	GO:0008278	STAG2,SMC1B,REC8,RAD21,STAG1,SMC1A,STAG3,DDX11,SMC3,CDCA5,RAD21L1,WAPL,SGO2	0.000401	0.0412	0.5129	0.65|0.519|0.503|0.485|0.469|0.441|0.152|0.0|0.0|0.0|0.0|0.0|0.0	422|784|853|941|1012|1116|3429|18217|18217|18217|18217|18217|18217	18|10|8|7|15|14|9|7|7|1|4|0|0
96	19004	GO:0033263	VPS41,VPS18,TGFBRAP1,VPS8	0.000247	0.0414	0.5129	0.523|0.371|0.018|0.0	761|1517|5064|18217	9|7|7|10
97	18870	GO:0031430	29 genes including: TTN,CMYA5,MYOM3,KLHL41,ALDOA,MYBPC3,MYBPC2,SMTNL1,FHL2,PPP2R5A,KCTD6,S100A1,LRRC39,SPTBN1,CRYAB,IGSF22,ANK1,ANK2,NBR1,MYOM1,MYOM2,LMOD2,LMOD3,OBSCN,OBSL1	0.000530	0.0419	0.5129	1.49|0.682|0.568|0.475|0.463|0.379|0.34|0.282|0.233|0.18|0.024|0.016|0.015|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0	21|366|614|981|1035|1469|1729|2161|2588|3124|4983|5099|5110|18217|18217|18217|18217|18217|18217|18217|18217|18217|18217|18217|18217	189|27|13|6|6|11|9|7|4|4|2|1|3|9|0|7|18|27|4|12|15|1|3|46|10
98	19645	GO:0098862	145 genes including: MYH9,ATP7A,USH2A,LRP2,PCDH15,MYO7B,ACTN4,DAB1,EPS8,SLC26A3,GRXCR1,TMPRSS15,TRPM6,HOMER2,SLC26A4,SLC7A9,MPP1,SLC3A1,TRPA1,SLC27A4,PDZD7,TMC2,MYH10,CLIC1,MYO7A	0.001158	0.0420	0.5129	1.609|1.192|1.101|1.033|0.888|0.868|0.847|0.744|0.706|0.663|0.639|0.625|0.568|0.515|0.487|0.48|0.459|0.424|0.418|0.397|0.391|0.391|0.386|0.356|0.351	18|44|59|79|142|155|173|278|323|395|437|464|614|804|930|962|1050|1200|1233|1357|1393|1393|1427|1615|1646	30|18|61|39|26|21|12|11|11|7|7|13|20|6|10|7|7|6|14|6|6|13|15|3|19
99	19313	GO:0045177	370 genes including: PTEN,ERBB2,MUC17,ERBB3,RAPGEF6,ATP7A,USH2A,LRP2,SHROOM2,MYO6,MYO7B,EDAR,ATP2B1,DAB1,KCNA1,DCHS1,DLG1,DPP4,DYNC2H1,SLC4A2,SLC26A3,KCNK2,CRB1,CASR,SLC30A5	0.007934	0.0431	0.5211	2.456|1.61|1.457|1.214|1.21|1.192|1.101|1.033|0.956|0.932|0.868|0.784|0.75|0.744|0.728|0.709|0.704|0.701|0.678|0.678|0.663|0.635|0.631|0.618|0.617	7|17|22|42|43|44|59|79|113|122|155|237|270|278|299|320|326|329|372|372|395|444|454|484|486	58|30|45|20|23|18|61|39|17|14|21|9|17|11|10|16|16|9|27|13|7|9|15|14|11
100	18711	GO:0030061	LYN,FAM173B,STAR,OPA1,SLC8B1,COX6B2	0.000301	0.0436	0.5219	0.631|0.335|0.246|0.082|0.0|0.0	454|1766|2470|4214|18217|18217	8|4|4|9|4|0
101	19381	GO:0070044	STX1A,NAPA,NAPB,VAMP2	0.000156	0.0444	0.5250	0.574|0.431|0.0|0.0	600|1157|18217|18217	6|5|0|1
102	19531	GO:0097165	TIA1,HSF1,SYMPK,SUMO1,DHX9	0.000218	0.0449	0.5250	0.547|0.491|0.228|0.011|0.0	676|906|2634|5169|18217	6|5|12|1|11
103	18657	GO:0016592	39 genes including: MED12,MED1,MED13,THRAP3,MED13L,PPARGC1B,MED27,MED16,RBM14,MED7,MED22,MED4,MED20,MED21,MED18,AC008764.1,MED10,MED11,MED12L,AP001273.2,MED15,MED17,MED19,HAVCR2,MED24	0.001162	0.0454	0.5250	1.246|0.833|0.722|0.583|0.533|0.332|0.246|0.237|0.215|0.141|0.128|0.09|0.039|0.032|0.011|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0	39|184|303|572|730|1785|2470|2541|2758|3556|3703|4123|4783|4873|5169|18217|18217|18217|18217|18217|18217|18217|18217|18217|18217	29|14|16|9|15|8|4|5|5|3|2|3|2|1|2|0|0|0|16|0|4|2|1|2|6
104	18804	GO:0031012	347 genes including: HMCN1,LAMB4,MUC4,USH2A,DST,COL6A6,COL4A5,FGFR2,CCDC80,ADAMTS13,LAMA2,DLG1,LAMB3,COL12A1,ABI3BP,TINAG,CFP,ADAMTS9,LAMC1,COL1A2,CASK,SSC5D,MFAP5,CILP,COL14A1	0.030403	0.0462	0.5250	1.53|1.254|1.15|1.101|0.819|0.811|0.787|0.755|0.749|0.738|0.712|0.704|0.702|0.679|0.677|0.661|0.659|0.652|0.652|0.646|0.633|0.564|0.558|0.524|0.516	20|37|51|59|200|208|234|261|271|286|316|326|328|369|374|400|402|414|414|429|449|622|645|757|799	61|20|46|61|32|22|18|15|12|12|23|16|13|26|13|11|8|16|14|14|12|9|5|9|22
105	18984	GO:0033018	CASQ2,TRDN,HRC,SRL,CALR,MANF,CASQ1,CALU	0.000307	0.0464	0.5250	0.65|0.542|0.377|0.056|0.0|0.0|0.0|0.0	422|696|1486|4532|18217|18217|18217|18217	9|12|7|4|0|1|4|2
106	18756	GO:0030659	742 genes including: ATP7A,LRP2,DIAPH1,MYO6,RHOA,SYN1,SELP,ATP10B,SGIP1,SH3KBP1,SEC16B,CD109,RAB9B,SYT2,SCG3,AP1G2,SEC31A,PACSIN2,SLC30A5,ZDHHC17,KIAA0319,GPR84,SPACA1,SYP,GPR161	0.000002	0.0465	0.5250	1.192|1.033|0.938|0.932|0.825|0.818|0.809|0.797|0.779|0.751|0.748|0.741|0.739|0.676|0.645|0.643|0.637|0.62|0.617|0.616|0.606|0.603|0.597|0.585|0.578	44|79|120|122|190|201|212|222|243|266|274|281|285|375|431|435|439|480|486|489|513|522|543|568|589	18|39|11|14|8|10|13|23|11|12|15|11|7|9|8|9|11|7|11|9|11|7|7|7|8
107	19327	GO:0045272	NDUFV1,NDUFV2,NDUFS8,NDUFS7,NDUFS1	0.000193	0.0469	0.5250	0.465|0.377|0.099|0.0|0.0	1029|1486|4030|18217|18217	6|4|2|0|1
108	18644	GO:0016461	MYO18B,MYO6,MYO7A,MYL6,MYL6B,MYO9A,DYNLL2,MYO1C,MYO1F,MYO5A	0.000320	0.0475	0.5269	1.032|0.932|0.351|0.322|0.118|0.0|0.0|0.0|0.0|0.0	80|122|1646|1862|3822|18217|18217|18217|18217|18217	27|14|19|3|2|14|0|6|7|10
109	19206	GO:0043226	13257 genes including: TP53,GATA3,CDH1,KMT2C,PTEN,MAP2K4,RUNX1,NCOR1,TBX3,FOXA1,AKT1,BRCA2,ARID1A,PIK3R1,ERBB2,MYH9,VPS13C,HMCN1,TTN,MUC17,NF1,HUWE1,CTCF,AFF2,AKAP9	0.000831	0.0481	0.5278	4.24|3.238|3.233|2.597|2.456|2.138|2.112|1.987|1.933|1.82|1.712|1.688|1.668|1.655|1.61|1.609|1.552|1.53|1.49|1.457|1.437|1.422|1.393|1.39|1.37	1|3|4|6|7|8|9|10|11|12|13|14|15|16|17|18|19|20|21|22|23|24|25|26|27	346|127|127|97|58|42|40|50|33|31|27|29|39|29|30|30|30|61|189|45|37|38|21|27|30
110	19585	GO:0097550	ESR1,TBP,ERCC3,GTF2F2,GTF2E1,GTF2B,GTF2H3	0.000241	0.0487	0.5278	0.579|0.51|0.11|0.061|0.031|0.0|0.0	584|824|3913|4475|4892|18217|18217	9|6|6|2|4|2|3
111	19626	GO:0098797	572 genes including: CDH1,MYH9,AKAP9,CASP8,ABCA7,CACNA1E,DMD,GRID2,GRIN2A,SCN10A,CHRNB2,ACVR2A,GRIK1,SCN11A,CDH20,SGIP1,ACVR1B,KCNA1,CDH12,DLG1,MR1,GJA5,GJB3,C7,KCNK2	0.009983	0.0490	0.5278	3.233|1.609|1.37|1.337|1.188|1.135|1.105|1.073|1.048|0.925|0.865|0.849|0.836|0.799|0.786|0.779|0.774|0.728|0.721|0.704|0.68|0.672|0.659|0.65|0.635	4|18|27|29|45|56|58|67|77|123|158|171|179|220|235|243|247|299|305|326|367|379|402|422|444	127|30|30|18|14|37|50|14|22|23|10|11|16|18|12|11|9|10|15|16|8|8|7|10|9
112	19192	GO:0043190	ABCA7,ABCB8,ABCA2,ABCG5,ABCG8,ABCB6,ABCD4	0.000262	0.0496	0.5278	1.188|0.613|0.0|0.0|0.0|0.0|0.0	45|498|18217|18217|18217|18217|18217	14|9|4|4|4|6|1
113	19615	GO:0098590	1083 genes including: CDH1,PTEN,ERBB2,MYH9,HMCN1,MUC17,AKAP9,ERBB3,RAPGEF6,ATP7A,ABCA7,DMD,USH2A,GRID2,GRIN2A,LRP2,KIF17,SHROOM2,DIAPH1,MYO6,RIMS1,CHRNB2,GRIK1,MEN1,MYO10	0.010406	0.0498	0.5278	3.233|2.456|1.61|1.609|1.53|1.457|1.37|1.214|1.21|1.192|1.188|1.105|1.101|1.073|1.048|1.033|1.004|0.956|0.938|0.932|0.871|0.865|0.836|0.833|0.833	4|7|17|18|20|22|27|42|43|44|45|58|59|67|77|79|88|113|120|122|152|158|179|184|184	127|58|30|30|61|45|30|20|23|18|14|50|61|14|22|39|14|17|11|14|14|10|16|11|25
114	19010	GO:0033391	PIWIL1,TDRD6,PIWIL2,CLOCK,TDRD5,ARNTL,DDX25,MAEL,TDRD1,NSUN2,TDRD7	0.000395	0.0517	0.5278	1.264|0.698|0.384|0.206|0.036|0.0|0.0|0.0|0.0|0.0|0.0	34|335|1438|2843|4824|18217|18217|18217|18217|18217|18217	22|17|10|7|9|4|2|6|8|4|2
115	18818	GO:0031093	67 genes including: F5,F8,ACTN4,FAM49B,APP,PLG,HRG,SERPINA1,MMRN1,CLU,ALDOA,SCCPDH,THBS1,FERMT3,KNG1,OLA1,A2M,APOOL,ORM2,FN1,PPBP,F13A1,TGFB1,VEGFB,NHLRC2	0.000524	0.0518	0.5278	1.148|0.884|0.847|0.581|0.538|0.519|0.516|0.502|0.486|0.469|0.463|0.433|0.378|0.347|0.324|0.273|0.242|0.24|0.236|0.23|0.206|0.183|0.162|0.127|0.083	52|145|173|577|711|784|799|859|936|1012|1035|1153|1477|1676|1847|2240|2503|2516|2552|2616|2843|3098|3319|3713|4202	27|26|12|8|12|13|8|8|15|5|6|4|10|7|6|4|12|4|3|17|2|7|4|2|6
116	18690	GO:0019898	284 genes including: PIK3CA,CDH1,PIK3R1,VPS13C,TPR,RHOA,CDH20,BMX,CDH12,FMR1,LYN,PACSIN2,ZC3H12A,KRAS,VPS13A,RNF40,TF,BTK,ITK,PLG,SNAP25,SOCS6,BCL2L11,ESYT1,PIK3CB	0.004891	0.0521	0.5278	4.156|3.233|1.655|1.552|1.096|0.825|0.786|0.773|0.721|0.694|0.631|0.62|0.62|0.61|0.607|0.582|0.577|0.569|0.567|0.519|0.511|0.509|0.507|0.481|0.464	2|4|16|19|62|190|235|248|305|346|454|480|480|502|509|574|595|609|619|784|820|832|843|959|1033	346|127|29|30|27|8|12|9|15|12|8|7|8|6|20|9|10|10|11|13|6|6|5|10|10
117	19576	GO:0097512	TNNI3,MYH7B,MYBPC3,CRYAB,TNNT2,DES,MYL2	0.000253	0.0522	0.5278	0.703|0.567|0.379|0.0|0.0|0.0|0.0	327|619|1469|18217|18217|18217|18217	7|18|11|0|1|1|1
118	18825	GO:0031205	CFTR,DNAJC3,SEC61B,SEC63	0.000166	0.0523	0.5278	0.571|0.427|0.0|0.0	602|1185|18217|18217	18|7|0|5
119	18915	GO:0031982	3780 genes including: CDH1,AKT1,BRCA2,ERBB2,MYH9,VPS13C,HMCN1,TTN,HUWE1,WDR44,EYS,RAPGEF6,ATP7A,ABCA7,MUC4,F5,EML5,GRIN2A,LRP2,TLR7,BCAS1,TLR4,FLG2,SHROOM2,CDKN1B	0.011485	0.0526	0.5278	3.233|1.712|1.688|1.61|1.609|1.552|1.53|1.49|1.422|1.267|1.256|1.21|1.192|1.188|1.15|1.148|1.095|1.048|1.033|1.009|0.999|0.966|0.957|0.956|0.953	4|13|14|17|18|19|20|21|24|33|36|43|44|45|51|52|63|77|79|85|90|109|112|113|115	127|27|29|30|30|30|61|189|38|20|24|23|18|14|46|27|20|22|39|17|13|17|28|17|10
120	18708	GO:0030055	406 genes including: MYH9,DMD,AKAP12,NEDD9,LPP,ACTN4,RHOA,DST,TLN1,SH3KBP1,RPS5,PIP5K1A,DPP4,SLC4A2,CASK,PACSIN2,KRAS,ACTG1,JAK1,G3BP1,CAV1,NFASC,XIRP1,HNRNPK,ARHGEF2	0.000003	0.0534	0.5278	1.609|1.105|1.015|0.872|0.855|0.847|0.825|0.819|0.816|0.751|0.734|0.715|0.701|0.678|0.633|0.62|0.61|0.6|0.59|0.579|0.568|0.562|0.561|0.542|0.536	18|58|84|151|164|173|190|200|204|266|292|310|329|372|449|480|502|532|560|584|614|631|634|696|721	30|50|17|15|11|12|8|32|24|12|7|9|9|13|12|7|6|6|12|7|5|16|13|7|10
121	19064	GO:0034706	SCN10A,GRIK1,SCN11A,SCN2B,GRIK2,SCN2A,SCN3B,SCN7A,SCNN1B,SCN3A,GRIK3,GRIK4,GRIK5,SCN1A,SCN1B,SCN4A,SCN4B,SCN5A,SCN8A,SCN9A,TRPM4,SCNN1A,SCNN1G	0.000340	0.0535	0.5278	0.925|0.836|0.799|0.414|0.382|0.23|0.223|0.125|0.056|0.009|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0	123|179|220|1252|1450|2616|2680|3739|4532|5192|18217|18217|18217|18217|18217|18217|18217|18217|18217|18217|18217|18217|18217	23|16|18|4|15|22|3|20|6|18|6|2|6|18|0|14|1|17|15|16|5|4|4
122	19232	GO:0043679	113 genes including: CAD,KCNA1,FMR1,ROR1,KCNK2,CASR,SYP,RNF40,HCN3,SEPT6,NAPA,FLRT3,GRIK2,KCNA2,PDYN,AAK1,GLUL,STX3,ADORA1,GPER1,OPRK1,PRSS12,CDH8,KCNC2,GNRH1	0.000195	0.0537	0.5278	0.902|0.728|0.694|0.656|0.635|0.618|0.585|0.582|0.511|0.458|0.431|0.43|0.382|0.377|0.333|0.322|0.32|0.26|0.256|0.255|0.252|0.239|0.235|0.23|0.224	137|299|346|406|444|484|568|574|820|1052|1157|1165|1450|1486|1777|1862|1878|2348|2374|2381|2422|2523|2564|2616|2667	17|10|12|12|9|14|7|9|9|6|5|8|15|5|4|8|5|4|4|4|5|7|12|8|2
123	18813	GO:0031088	SELP,ABCC4,CD63,LAMP2,RAB27B,ITPR1	0.000106	0.0545	0.5299	0.809|0.484|0.035|0.005|0.0|0.0	212|947|4831|5250|18217|18217	13|12|2|4|1|19
124	19490	GO:0072558	NLRP1,CASP5,CASP1,PYCARD	0.000109	0.0549	0.5299	0.471|0.265|0.011|0.0	1000|2311|5169|18217	13|5|4|1
125	18529	GO:0005887	1537 genes including: ERBB2,MYH9,AKAP9,ERBB3,MUC4,GRID2,GRIN2A,PCDH19,TLR4,SCN10A,IL1RAP,PCDH15,CHRNB2,NOTCH2,ACVR2A,PCDH11X,SLC39A12,GRIK1,NLGN3,CXCR3,ADCY9,SELP,SCN11A,RNF43,KCNK18	0.014673	0.0558	0.5299	1.61|1.609|1.37|1.214|1.15|1.073|1.048|0.969|0.966|0.925|0.916|0.888|0.865|0.856|0.849|0.846|0.841|0.836|0.83|0.821|0.819|0.809|0.799|0.787|0.784	17|18|27|42|51|67|77|108|109|123|129|142|158|162|171|174|176|179|187|193|200|212|220|234|237	30|30|30|20|46|14|22|18|17|23|12|26|10|26|11|17|9|16|13|9|16|13|18|10|10
126	19702	GO:1904115	45 genes including: MAP1A,KIF4A,SYBU,DST,KIF5B,KIF1A,AP3M1,SPAST,RAB21,BLOC1S6,BLOC1S5,AP3M2,SOD1,KIF1C,MGARP,PAFAH1B1,AP3B1,SNAPIN,MAPT,OPA1,KIF1B,ZC3H14,HAP1,BLOC1S1,BLOC1S2	0.000376	0.0561	0.5299	1.064|0.995|0.882|0.819|0.774|0.6|0.491|0.403|0.33|0.316|0.278|0.277|0.269|0.266|0.213|0.196|0.192|0.168|0.132|0.082|0.0|0.0|0.0|0.0|0.0	71|92|146|200|247|532|906|1327|1799|1903|2200|2210|2276|2303|2778|2950|3005|3252|3665|4214|18217|18217|18217|18217|18217	27|22|14|32|12|11|6|5|4|3|3|4|3|7|3|4|10|2|7|9|11|5|4|3|1
127	18329	GO:0001740	H3F3A,H2AFY2,H3F3B,SMCHD1,H2AFY	0.000089	0.0561	0.5299	0.347|0.268|0.186|0.123|0.0	1676|2285|3064|3757|18217	3|4|2|14|2
128	18808	GO:0031080	NUP160,NUP107,AHCTF1,NUP43,NUP98,NUP133,NUP37,NUP85,SEC13,SEH1L	0.000260	0.0576	0.5398	0.667|0.617|0.485|0.264|0.076|0.0|0.0|0.0|0.0|0.0	387|486|941|2315|4292|18217|18217|18217|18217|18217	17|11|28|5|12|6|0|2|5|3
129	19568	GO:0097452	SYNCRIP,RPL13A,EPRS,GAPDH	0.000153	0.0596	0.5543	0.389|0.378|0.0|0.0	1412|1477|18217|18217	7|4|9|2
130	18370	GO:0005605	COL4A5,LAMA2,DLG1,LAMB3,LAMC1,FN1,LAMC2,COL4A4,COLQ,ENTPD2,LAMB1,LAMB2,LAMA5,LAMA1,ANG,NID1,ACHE,AGRN,AMTN,LAMA3,LAMA4	0.000209	0.0601	0.5547	0.787|0.712|0.704|0.702|0.652|0.23|0.218|0.143|0.133|0.078|0.039|0.007|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0	234|316|326|328|414|2616|2725|3536|3647|4266|4783|5224|18217|18217|18217|18217|18217|18217|18217|18217|18217	18|23|16|13|14|17|7|15|4|4|14|12|9|28|0|20|3|5|0|19|16
131	19675	GO:0120038	1401 genes including: PTEN,MAP2K4,AKT1,NF1,AKAP9,ATP7A,ABCA7,RP1,DMD,USH2A,GRID2,MAP1A,LRP2,RPGR,KIF17,KIF4A,MARK1,DIAPH1,MYO6,PLK2,CAD,ADNP,PCDH15,BRINP3,SYBU	0.000516	0.0614	0.5567	2.456|2.138|1.712|1.437|1.37|1.192|1.188|1.141|1.105|1.101|1.073|1.064|1.033|1.018|1.004|0.995|0.954|0.938|0.932|0.915|0.902|0.889|0.888|0.886|0.882	7|8|13|23|27|44|45|54|58|59|67|71|79|83|88|92|114|120|122|130|137|141|142|144|146	58|42|27|37|30|18|14|27|50|61|14|27|39|19|14|22|13|11|14|12|17|15|26|17|14
132	18344	GO:0002139	USH2A,PDZD7,MYO7A,WHRN,USH1C	0.000027	0.0615	0.5567	1.101|0.391|0.351|0.0|0.0	59|1393|1646|18217|18217	61|6|19|0|9
133	18315	GO:0001520	ODF2,RSPH1,ODF1,DDX6,ODF3	0.000164	0.0617	0.5567	0.324|0.281|0.244|0.242|0.0	1847|2171|2491|2503|18217	8|4|3|5|0
134	18264	GO:0000444	NSL1,DSN1,PMF1,MIS12,PMF1-BGLAP	0.000046	0.0627	0.5614	0.306|0.118|0.111|0.08|0.0	1972|3822|3900|4241|18217	4|4|2|2|0
135	18833	GO:0031232	TF,PLG,ANXA1,SERPINE2,FCN1,CUBN,PCSK9	0.000143	0.0643	0.5614	0.577|0.519|0.347|0.099|0.0|0.0|0.0	595|784|1676|4030|18217|18217|18217	10|13|5|4|7|27|2
136	19558	GO:0097431	26 genes including: STAG2,GPSM2,HSF1,STAG1,MAP10,SMC1A,SPAG5,BCCIP,EML1,AURKA,FAM161A,MAPKBP1,SMC3,KIF20B,OR2A4,TNKS,NUMA1,NIN,IK,KATNA1,CDK5RAP2,KATNBL1,MAD1L1,FAM83D,RAE1	0.000235	0.0647	0.5614	0.65|0.518|0.491|0.469|0.447|0.441|0.399|0.225|0.186|0.172|0.04|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0	422|789|906|1012|1090|1116|1345|2661|3064|3203|4769|18217|18217|18217|18217|18217|18217|18217|18217|18217|18217|18217|18217|18217|18217	18|11|5|15|9|14|11|5|7|5|6|9|7|9|3|5|12|16|2|3|11|2|7|1|5
137	19062	GO:0034704	63 genes including: CACNA1E,CASQ2,PDE4B,CATSPER3,CACNA2D2,ATP2A1,HSPA2,CACNG3,PDE4D,CATSPER4,CACNA1F,CACNB2,CACNA2D1,CACNG7,PRKACA,NOS1,AKAP6,PKD1L1,CACNG1,MCU,CACNG2,HERPUD1,CATSPERD,NOS1AP,CALM2	0.000311	0.0655	0.5614	1.135|0.65|0.58|0.507|0.499|0.491|0.451|0.412|0.384|0.38|0.338|0.323|0.31|0.277|0.272|0.248|0.193|0.17|0.167|0.152|0.149|0.141|0.122|0.121|0.081	56|422|582|843|870|906|1070|1274|1438|1461|1741|1853|1945|2210|2253|2450|2985|3225|3263|3429|3464|3556|3773|3783|4224	37|9|11|7|10|12|6|5|11|6|20|7|8|4|6|15|19|22|3|3|3|3|6|5|2
138	18542	GO:0005912	530 genes including: CDH1,MYH9,HMCN1,AKAP12,SHROOM2,NEDD9,KIAA1210,LPP,ACTN4,RHOA,DST,TLN1,CDH20,SH3KBP1,RPS5,CDH12,PIP5K1A,DLG1,DPP4,MAGI1,SLC4A2,CASK,LYN,CRB1,PACSIN2	0.000015	0.0660	0.5614	3.233|1.609|1.53|1.015|0.956|0.872|0.858|0.855|0.847|0.825|0.819|0.816|0.786|0.751|0.734|0.721|0.715|0.704|0.701|0.687|0.678|0.633|0.631|0.631|0.62	4|18|20|84|113|151|160|164|173|190|200|204|235|266|292|305|310|326|329|362|372|449|454|454|480	127|30|61|17|17|15|22|11|12|8|32|24|12|12|7|15|9|16|9|19|13|12|8|15|7
139	18779	GO:0030867	34 genes including: ZC3H12A,TF,CFTR,BCAP31,SUCO,DNAJC3,SEC61A1,SEC61A2,GNRH1,RP9,RPL27,SSR4,MELTF,ARL6IP1,UBA1,RPS26,RPS28,RPS29,PI4KB,LTF,SRP9,NAT8L,MACO1,SRPRA,PLOD2	0.000353	0.0662	0.5614	0.62|0.577|0.571|0.474|0.45|0.427|0.3|0.289|0.224|0.205|0.119|0.067|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0	480|595|602|986|1076|1185|2020|2104|2667|2856|3807|4395|18217|18217|18217|18217|18217|18217|18217|18217|18217|18217|18217|18217|18217	8|10|18|5|14|7|6|5|2|3|2|2|0|1|7|0|0|2|5|4|0|1|0|0|6
140	18541	GO:0005911	441 genes including: CDH1,AKT1,PIK3R1,MYH9,HMCN1,HEG1,ASH1L,SHROOM2,CDC42BPA,KIAA1210,ACTN4,RHOA,CDH20,SH3KBP1,CDH12,DLG1,DPP4,MAGI1,KRIT1,GJA5,GJB3,CASK,LYN,CRB1,PACSIN2	0.004481	0.0666	0.5614	3.233|1.712|1.655|1.609|1.53|1.059|0.979|0.956|0.948|0.858|0.847|0.825|0.786|0.751|0.721|0.704|0.701|0.687|0.686|0.672|0.659|0.633|0.631|0.631|0.62	4|13|16|18|20|72|103|113|117|160|173|190|235|266|305|326|329|362|364|379|402|449|454|454|480	127|27|29|30|61|18|28|17|19|22|12|8|12|12|15|16|9|19|11|8|7|12|8|15|7
141	18519	GO:0005874	405 genes including: NCOR1,RP1,EML5,MAP1A,KIF17,KIF4A,SHROOM2,CAMSAP2,SYBU,CENPE,TBL1XR1,DST,KIF5B,KIF16B,DNM1,DLG1,KRIT1,DYNC2H1,DNM3,CCDC66,GTSE1,KIF1A,TBCC,EML4,ZNF207	0.000769	0.0674	0.5614	1.987|1.141|1.095|1.064|1.004|0.995|0.956|0.909|0.882|0.867|0.82|0.819|0.774|0.737|0.727|0.704|0.686|0.678|0.653|0.644|0.629|0.6|0.577|0.543|0.543	10|54|63|71|88|92|113|132|146|156|196|200|247|289|300|326|364|372|412|433|458|532|595|690|690	50|27|20|27|14|22|17|15|14|25|11|32|12|19|10|16|11|27|14|7|9|11|6|7|7
142	18883	GO:0031514	174 genes including: RPGR,PTCHD3,OXCT2,DNAJB13,DYNC2H1,SLC26A3,DAAM1,MAATS1,TACR2,SPAG17,LDHC,CATSPER3,SLC9C1,SEPT6,SPAG6,CATSPER4,PGAM4,CCDC172,RSPH4A,CCDC181,IFT88,TSGA10,ANXA1,ABHD2,SQSTM1	0.000744	0.0679	0.5614	1.018|0.854|0.752|0.714|0.678|0.663|0.635|0.58|0.571|0.53|0.521|0.507|0.499|0.458|0.399|0.38|0.376|0.373|0.368|0.367|0.351|0.347|0.347|0.334|0.327	83|165|264|312|372|395|444|582|602|740|773|843|870|1052|1345|1461|1492|1503|1535|1544|1646|1676|1676|1771|1823	19|13|7|8|27|7|10|9|6|19|6|7|12|6|7|6|4|5|8|7|6|7|5|5|5
143	18640	GO:0016363	107 genes including: TP53,KIF4A,MYB,CAD,MEN1,ATXN1,HNRNPA2B1,STAG2,CASK,ATXN3,AHCTF1,RAD21,STAG1,BLM,SMC1A,HAT1,RUNX1T1,PIAS4,RNASEL,DNTT,ZNF350,ARFGEF1,LGALS13,HNRNPU,THOC1	0.000390	0.0684	0.5614	4.24|0.995|0.965|0.902|0.833|0.813|0.8|0.65|0.633|0.55|0.485|0.485|0.469|0.462|0.441|0.44|0.396|0.384|0.345|0.301|0.285|0.26|0.248|0.233|0.15	1|92|110|137|184|206|219|422|449|668|941|941|1012|1040|1116|1121|1366|1438|1695|2016|2137|2348|2450|2588|3449	346|22|12|17|11|12|10|18|12|6|28|7|15|16|14|6|11|6|8|7|8|18|2|8|6
144	18561	GO:0005952	PRKAR1A,PRKAR2A,PRKAR2B,PRKACA,AKAP4,PRKACB,PRKAR1B,AKAP14	0.000147	0.0689	0.5614	0.297|0.296|0.29|0.272|0.169|0.0|0.0|0.0	2043|2051|2100|2253|3239|18217|18217|18217	5|4|5|6|11|2|1|1
