	brca_diff_log_ps5	luad_diff_log_ps5	ucec_diff_log_ps5	lgg_diff_log_ps5	hnsc_diff_log_ps5	prad_diff_log_ps5	thca_diff_log_ps5	lusc_diff_log_ps5	skcm_diff_log_ps5	stad_diff_log_ps5	ov_diff_log_ps5	blca_diff_log_ps5	gbm_diff_log_ps5	coad_diff_log_ps5	lihc_diff_log_ps5	kirc_diff_log_ps5	cesc_diff_log_ps5	kirp_diff_log_ps5	sarc_diff_log_ps5	laml_diff_log_ps5	esca_diff_log_ps5	pcpg_diff_log_ps5	paad_diff_log_ps5	tgct_diff_log_ps5	read_diff_log_ps5	thym_diff_log_ps5	acc_diff_log_ps5	meso_diff_log_ps5	uvm_diff_log_ps5	kich_diff_log_ps5	ucs_diff_log_ps5	dlbc_diff_log_ps5	chol_diff_log_ps5	pancancer_diff_log_ps5
PABPC1L2B	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
PABPC3	0.62	0.691	0.0	0.0	0.0	0.0	0.055	0.0	0.0	0.96	0.042	0.0	0.176	0.0	0.029	0.103	0.269	0.0	0.19	0.0	0.0	0.0	0.276	0.0	0.462	0.0	0.0	0.0	0.0	0.0	0.122	0.121	0.0	0.0
PABPC4	0.0	0.0	0.0	0.245	0.0	0.23	0.0	0.0	0.0	0.0	0.0	0.274	0.238	0.0	0.0	0.0	0.0	0.076	0.429	0.297	0.125	0.0	0.0	0.0	0.014	0.121	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
PABPC4L	0.114	0.0	0.643	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.532	0.458	0.0	0.0	0.0	0.473	0.0	0.194	0.0	0.0	0.0	0.045	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
PABPC5	0.0	0.136	0.0	0.086	0.279	0.0	0.0	0.549	0.0	0.0	0.031	0.0	0.0	0.0	0.237	0.173	0.0	0.0	0.0	0.0	0.275	0.0	0.147	0.0	0.363	0.15	0.0	0.0	0.0	0.0	0.226	0.0	0.0	0.0
PABPN1	0.0	0.0	0.0	0.0	0.175	0.0	0.0	0.0	0.0	0.0	0.037	0.0	0.0	0.0	0.0	0.0	0.0	0.057	0.0	0.0	0.03	0.0	0.058	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
PABPN1L	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.088	0.208	0.0	0.0	0.0	0.094	0.0	0.0	0.0	0.002	0.157	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
PACRG	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.095	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.059	0.182	0.0	0.076	0.0	0.219	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
PACRGL	0.0	0.0	0.0	0.178	0.049	0.272	0.14	0.518	0.0	0.161	0.0	0.0	0.0	0.0	0.039	0.0	0.029	0.0	0.0	0.135	0.0	0.0	0.124	0.164	0.001	0.0	0.154	0.0	0.0	0.0	0.0	0.0	0.0	0.0
PACS1	0.014	0.0	1.11	0.0	0.523	0.045	0.0	0.024	0.0	0.0	0.0	0.0	0.064	0.0	0.0	0.0	0.0	0.0	0.0	0.096	0.03	0.0	0.0	0.05	0.375	0.0	0.0	0.096	0.0	0.282	0.014	0.0	0.0	0.0
PACS2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.71	0.0	0.0	0.0	0.0	0.028	0.0	0.0	0.054	0.0	0.0	0.443	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.108	0.0	0.0	0.0
PACSIN1	0.0	0.0	0.0	0.0	0.0	0.089	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.098	0.0	0.071	0.0	0.0	0.03	0.0	0.0	0.0	0.225	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
PACSIN2	0.62	0.0	0.0	0.0	0.36	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.078	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.08	0.0	0.0	0.0	0.0	0.0	0.0	0.0
PACSIN3	0.15	0.0	0.0	0.0	0.0	0.0	0.074	0.0	0.0	0.0	0.098	0.036	0.0	0.394	0.303	0.22	0.0	0.0	0.036	0.0	0.0	0.0	0.014	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.105	0.0	0.0	0.0
PADI1	0.0	0.0	0.259	0.0	0.0	0.0	0.056	0.726	0.0	0.0	0.106	0.0	0.0	0.252	0.282	0.0	0.0	0.11	0.13	0.0	0.093	0.148	0.0	0.0	0.047	0.0	0.0	0.0	0.0	0.0	0.062	0.13	0.0	0.0
PADI2	0.326	0.282	0.0	0.0	0.0	0.0	0.0	0.496	0.0	0.495	0.43	0.023	0.0	0.0	0.372	0.0	0.0	0.0	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.128	0.0	0.0	0.0	0.0	0.0
PADI3	0.175	0.0	0.0	0.394	0.099	0.341	0.035	0.0	0.0	0.0	0.157	0.0	0.334	0.081	0.208	0.0	0.0	0.0	0.145	0.0	0.0	0.0	0.115	0.129	0.0	0.147	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
PADI4	0.0	0.0	0.0	0.0	0.0	0.062	0.0	0.0	0.0	0.0	0.0	0.255	0.287	0.0	0.15	0.0	0.0	0.359	0.0	0.0	0.094	0.0	0.0	0.0	0.0	0.0	0.0	0.139	0.0	0.154	0.0	0.0	0.0	0.0
PADI6	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
PAEP	0.206	0.0	0.0	0.0	0.0	0.047	0.0	0.0	0.0	0.0	0.026	0.0	0.0	0.0	0.05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
PAF1	0.267	0.0	0.0	0.125	0.195	0.095	0.0	0.0	0.0	0.0	0.647	0.018	0.0	0.0	0.0	0.041	0.246	0.0	0.007	0.0	0.0	0.0	0.076	0.141	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
PAFAH1B1	0.196	0.0	1.398	0.162	0.0	0.0	0.0	0.0	0.0	0.969	0.0	0.0	0.0	0.0	0.0	0.003	0.0	0.0	0.0	0.0	0.0	0.0	0.055	0.155	0.0	0.0	0.0	0.0	0.0	0.0	0.082	0.0	0.145	0.712
PAFAH1B2	0.0	0.0	0.268	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.122	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.144	0.0
PAFAH1B3	0.0	0.0	0.0	0.07	0.0	0.0	0.129	0.0	0.0	0.0	0.031	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.095	0.0	0.086	0.0	0.0	0.0	0.097	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
PAFAH2	0.0	0.0	0.045	0.104	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.386	0.0	0.034	0.0	0.0	0.0	0.0	0.0	0.0	0.042	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
PAG1	0.0	0.0	0.0	0.0	0.0	0.214	0.0	0.0	0.0	0.0	0.051	0.0	0.0	0.0	0.276	0.0	0.067	0.0	0.0	0.0	0.0	0.0	0.235	0.0	0.128	0.0	0.081	0.0	0.153	0.0	0.0	0.0	0.0	0.0
PAGE1	0.38	0.476	0.707	0.289	0.0	0.0	0.0	0.093	0.0	0.0	0.0	0.105	0.0	0.169	0.0	0.0	0.222	0.0	0.0	0.0	0.0	0.0	0.127	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
PAGE2	0.428	0.074	0.143	0.0	0.034	0.136	0.0	0.089	0.362	0.0	0.105	0.0	0.0	0.33	0.133	0.0	0.056	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.553
PAGE2B	0.335	0.0	0.0	0.0	0.035	0.0	0.0	0.038	0.038	0.0	0.0	0.0	0.063	0.0	0.0	0.0	0.229	0.0	0.0	0.0	0.107	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.168	0.0	0.17	0.0
PAGE4	0.0	0.0	0.0	0.0	0.201	0.0	0.0	0.0	0.486	0.0	0.0	0.118	0.0	0.0	0.0	0.0	0.057	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
PAGE5	0.453	0.0	0.762	0.0	0.0	0.0	0.0	0.081	0.0	0.0	0.0	0.206	0.065	0.0	0.0	0.117	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
PAGR1	0.0	0.0	0.0	0.061	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.059	0.0	0.0	0.0	0.0	0.02	0.048	0.0	0.155	0.0	0.0	0.0	0.0	0.0	0.0	0.141	0.0	0.166	0.0	0.0	0.0	0.0	0.0
PAH	0.0	0.0	0.612	0.075	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.173	0.0	0.106	0.0	0.185	0.0	0.123	0.033	0.0	0.0	0.0	0.413	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
PAICS	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.03	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.082	0.0	0.024	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
PAIP1	0.0	0.0	0.601	0.0	0.251	0.0	0.0	0.0	0.0	0.0	0.065	0.559	0.0	0.0	0.0	0.172	0.0	0.103	0.019	0.0	0.0	0.157	0.0	0.0	0.044	0.0	0.077	0.0	0.0	0.0	0.0	0.0	0.0	0.0
PAIP2	0.0	0.17	0.0	0.0	0.0	0.125	0.0	0.0	0.0	0.211	0.0	0.0	0.0	0.0	0.094	0.131	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.157	0.128	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.176	0.0
PAIP2B	0.0	0.099	0.124	0.0	0.02	0.0	0.0	0.0	0.0	0.0	0.0	0.327	0.0	0.0	0.0	0.0	0.235	0.145	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
PAK1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.468	0.0	0.004	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.087	0.0	0.0
PAK1IP1	0.0	0.104	0.378	0.156	0.129	0.0	0.0	0.0	0.0	0.0	0.091	0.062	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.282	0.033	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
PAK2	0.073	0.0	0.0	0.1	0.046	0.198	0.0	0.0	0.0	0.902	0.0	0.548	0.0	0.0	0.0	0.005	0.058	0.0	0.016	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
PAK3	0.0	0.456	1.333	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.817	0.55	0.0	0.0	0.1	0.0	0.0	0.075	0.158	0.075	0.0	0.0	0.0	0.143	0.002	0.0	0.371	0.0	0.0	0.0	0.0	0.0	0.0	0.0
PAK4	0.0	0.174	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.467	0.0	0.0	0.019	0.0	0.0	0.139	0.246	0.514	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.287	0.0	0.0	0.0
PAK5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
PAK6	0.0	0.0	0.0	0.129	0.239	0.11	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.187	0.0	0.0	0.164	0.0	0.511	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.127	0.0	0.0
PALB2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.544	0.0	0.0	0.489	0.0	0.0	0.0	0.0	0.0	0.0	0.401	0.0	0.047	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.071	0.0	0.0
PALD1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.364	0.164	0.0	0.0	0.0	0.231	0.0	0.0	0.0	0.003	0.0	0.209	0.0	0.141	0.0	0.0	0.118	0.0	0.0	0.0	0.086	0.0	0.118	0.0	0.0
PALLD	0.0	0.0	0.0	0.0	0.603	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.083	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.106	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.132	0.0
PALM	0.0	0.453	0.0	0.2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.033	0.077	0.387	0.0	0.0	0.0	0.17	0.0	0.0	0.0	0.0	0.07	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
PALM2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.11	0.106	0.0	0.0	0.0	0.0	0.0	0.0	0.238	0.0	0.0	0.259	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
PALM2-AKAP2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
PALM3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.027	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.071	0.153	0.0	0.131	0.0	0.131	0.0	0.0
PALMD	0.0	0.0	0.0	0.0	0.0	0.0	0.26	0.0	0.0	0.0	0.0	0.378	0.0	0.0	0.0	0.051	0.001	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.252	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
PAM	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.04	0.0	0.027	0.252	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.071	0.0	0.0
PAM16	0.0	0.0	0.0	0.0	0.017	0.0	0.0	0.158	0.0	0.0	0.0	0.0	0.067	0.0	0.0	0.0	0.0	0.0	0.137	0.0	0.0	0.0	0.134	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
PAMR1	0.324	0.0	0.333	0.0	0.0	0.037	0.0	0.0	0.0	0.25	0.39	0.0	0.0	0.0	0.0	0.0	0.332	0.295	0.183	0.0	0.136	0.0	0.128	0.0	0.311	0.0	0.258	0.0	0.0	0.109	0.29	0.0	0.0	0.0
PAN2	0.0	0.0	0.0	0.0	0.0	0.135	0.0	0.0	0.0	0.218	0.495	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.412	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
PAN3	0.0	0.0	1.262	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.684	0.489	0.0	0.42	0.0	0.0	0.0	0.111	0.47	0.0	0.027	0.0	0.075	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
PANK1	0.0	0.0	0.0	0.0	0.0	0.338	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.558	0.0	0.367	0.0	0.106	0.156	0.0	0.101	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
PANK2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.346	0.0	0.058	0.0	0.0	0.098	0.0	0.0	0.0	0.0	0.0	0.109	0.0	0.0	0.0	0.0	0.121	0.0	0.0
PANK3	0.0	0.19	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.227	0.0	0.0	0.0	0.0	0.19	0.044	0.0	0.0	0.063	0.0	0.035	0.0	0.254	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
PANK4	0.119	0.0	0.0	0.408	0.0	0.0	0.0	0.0	0.142	0.0	0.0	0.0	0.0	0.217	0.0	0.0	0.0	0.011	0.0	0.0	0.29	0.0	0.051	0.0	0.0	0.0	0.0	0.0	0.143	0.0	0.0	0.0	0.0	0.0
PANX1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.203	0.0	0.05	0.0	0.0	0.0	0.0	0.014	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.16	0.0
PANX2	0.0	0.0	0.0	0.0	0.187	0.0	0.047	0.0	0.0	0.0	0.0	0.0	0.064	0.079	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.159	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
PANX3	0.155	0.0	0.678	0.057	0.0	0.0	0.0	0.998	0.0	0.061	0.0	0.0	0.523	0.0	0.418	0.0	0.288	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.169	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
PAOX	0.0	0.0	0.214	0.0	0.0	0.0	0.0	0.042	0.0	0.0	0.001	0.0	0.0	0.0	0.0	0.0	0.076	0.063	0.021	0.0	0.0	0.147	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.159	0.0	0.0	0.135	0.0
PAPD4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.29	0.221	0.0	0.0	0.0	0.057	0.326	0.0	0.0	0.06	0.0	0.0	0.0	0.0	0.0	0.368	0.0	0.128	0.0	0.0	0.0	0.0	0.0	0.0	0.0
PAPD5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.182	0.0	0.0	0.0	0.406	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
PAPD7	0.0	0.859	0.0	0.172	0.116	0.311	0.0	0.0	0.0	0.308	0.257	0.0	0.0	0.0	0.247	0.0	0.0	0.008	0.181	0.0	0.057	0.0	0.0	0.0	0.199	0.0	0.0	0.0	0.0	0.0	0.064	0.15	0.0	0.0
PAPLN	0.0	0.0	0.0	0.13	0.0	0.382	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.075	0.0	0.0	0.074	0.0	0.0	0.0	0.0	0.0	0.0
PAPOLA	0.0	0.484	0.843	0.0	0.0	0.0	0.064	0.0	0.0	0.0	0.0	0.895	0.0	0.0	0.0	0.224	0.0	0.106	0.253	0.0	0.0	0.157	0.033	0.0	0.214	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
PAPOLB	0.0	0.0	1.279	0.0	0.0	0.071	0.0	0.618	0.0	0.523	0.221	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.143	0.0	0.534	0.0	0.0	0.0	0.0	0.0	0.114	0.0	0.0	0.505
PAPOLG	0.269	0.0	1.339	0.0	0.0	0.0	0.0	0.0	0.0	0.343	0.0	0.0	0.0	0.352	0.0	0.554	0.0	0.0	0.146	0.0	0.0	0.0	0.0	0.0	0.397	0.0	0.0	0.13	0.0	0.0	0.0	0.0	0.0	0.0
PAPPA	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.361	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.319	0.363	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.134	0.0	0.083	0.0	0.0	0.032	0.0	0.0
PAPPA2	0.327	0.279	0.0	0.0	1.419	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.226	0.418	0.0	0.0	0.0	0.0	0.0	0.013	0.611	0.106	0.226	0.0	0.166	0.0	0.312	0.394	0.107	0.0	0.0	0.0	0.001	0.0
PAPSS1	0.017	0.0	0.388	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.274	0.0	0.0	0.0	0.152	0.024	0.0	0.043	0.014	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
PAPSS2	0.0	0.346	0.0	0.0	0.227	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.34	0.0	0.0	0.026	0.0	0.193	0.0	0.0	0.0	0.007	0.0	0.0	0.0	0.0	0.0	0.0	0.0
PAQR3	0.002	0.404	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.126	0.0	0.099	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.151	0.218	0.0	0.201	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
PAQR4	0.011	0.0	0.0	0.025	0.0	0.156	0.0	0.0	0.0	0.457	0.0	0.0	0.0	0.0	0.034	0.0	0.0	0.0	0.055	0.0	0.0	0.0	0.061	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
PAQR5	0.0	0.214	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.013	0.0	0.0	0.0	0.019	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
PAQR6	0.0	0.0	0.0	0.0	0.0	0.0	0.116	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.136	0.0	0.0	0.136	0.0	0.0	0.0
PAQR7	0.0	0.0	0.0	0.0	0.15	0.045	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.101	0.0	0.376	0.085	0.0	0.0	0.0	0.078	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.148	0.168	0.0	0.0
PAQR8	0.0	0.123	0.0	0.163	0.0	0.006	0.0	0.0	0.0	0.442	0.0	0.387	0.0	0.137	0.0	0.24	0.0	0.0	0.085	0.0	0.0	0.0	0.0	0.0	0.0	0.155	0.121	0.0	0.0	0.0	0.0	0.0	0.0	0.0
PAQR9	0.47	0.349	0.0	0.0	0.0	0.132	0.0	0.874	0.0	0.746	0.0	0.0	0.125	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.031	0.0	0.059	0.0	0.137	0.0	0.0	0.0	0.0	0.0	0.0	0.126	0.143	0.0
PARD3	0.0	0.227	0.0	0.0	0.0	0.0	0.004	0.0	0.0	0.253	0.222	1.277	0.0	0.0	0.0	0.0	0.625	0.003	0.0	0.0	0.0	0.237	0.0	0.125	0.006	0.0	0.0	0.0	0.096	0.0	0.0	0.384	0.096	0.0
PARD3B	0.0	0.852	0.868	0.0	0.0	0.023	0.0	0.259	0.0	0.262	0.0	0.0	0.0	0.0	0.01	0.0	0.0	0.094	0.0	0.0	0.0	0.079	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.054	0.0	0.0	0.0	0.0
PARD6A	0.0	0.098	0.0	0.054	0.0	0.0	0.0	0.0	0.0	0.0	0.193	0.0	0.0	0.0	0.0	0.0	0.08	0.0	0.0	0.0	0.048	0.0	0.074	0.0	0.226	0.0	0.0	0.152	0.0	0.0	0.0	0.0	0.0	0.0
PARD6B	0.0	0.0	0.0	0.204	0.0	0.0	0.113	0.0	0.0	0.0	0.0	0.019	0.094	0.0	0.067	0.488	0.325	0.802	0.243	0.0	0.072	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
PARD6G	0.0	0.0	0.0	0.0	0.147	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.241	0.0	0.0	0.0	0.017	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.158	0.0	0.0
PARG	0.0	0.0	0.501	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.193	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.083	0.0	0.0	0.0	0.028	0.062	0.0	0.0
PARK2	0.024	0.0	0.0	0.0	0.0	0.0	0.0	1.046	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.045	0.07	0.0	0.0	0.0	0.145	0.0	0.0	0.0	0.0	0.0	0.0	0.116	0.0	0.076	0.0	0.0
PARK7	0.0	0.0	0.0	0.0	0.0	0.259	0.0	0.0	0.0	0.0	0.0	0.0	0.034	0.256	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
PARL	0.0	0.0	0.748	0.0	0.148	0.0	0.0	0.0	0.0	0.0	0.0	0.252	0.0	0.0	0.0	0.0	0.0	0.459	0.043	0.115	0.0	0.0	0.0	0.0	0.0	0.145	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
PARM1	0.0	0.0	0.0	0.196	0.073	0.031	0.0	0.0	1.658	0.0	0.0	0.0	0.0	0.0	0.326	0.0	0.0	0.0	0.0	0.0	0.366	0.0	0.046	0.0	0.0	0.0	0.0	0.164	0.0	0.0	0.122	0.0	0.0	0.816
PARN	0.155	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.467	0.0	0.0	0.0	0.0	0.0	0.147	0.0	0.123	0.213	0.0	0.0	0.141	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
PARP1	0.11	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.037	0.0	0.0	0.0	0.0	0.0	0.0	0.185	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.317	0.0	0.0	0.0	0.0	0.0	0.0	0.0
