	System index	System clixo/louvain name	Genes	Selection pressure	p	q	Mutation model input	Rank of model input	Mutation count
153	21576	23173	CDKN1A,CDKN2A,CDKN1B,CCND3,RBL2,CDK6,CDKN2B,CDK4,CDK2,CCND2	0.000142	0.0343	0.4890	2.124|1.742|0.587|0.175|0.066|0.037|0.033|0.016|0.0|0.0	10|18|568|2554|3502|3764|3816|4005|17469|17469	39|27|6|5|10|5|2|4|1|1
154	20477	22073	CHMP2A,VTA1,CHMP5,CHMP3	0.000163	0.0345	0.4890	0.665|0.373|0.0|0.0	410|1270|17469|17469	8|5|1|1
155	20985	22581	ERCC2,ABCE1,CIAO1,FAM96B,MMS19,NARFL	0.000075	0.0347	0.4890	1.915|0.289|0.219|0.051|0.0|0.0	12|1736|2198|3632|17469|17469	38|7|5|2|4|2
156	21689	23287	ATP6V1A,ATP6V1H,ATP6V1B1,ATP6V0A1,ATP6AP2,TCIRG1,ATP6V0A2,ATP6V0D1,ATP6V1B2,ATP6V1D,ATP6V1E1,ATP6V1F,ATP6V1G1,ATP6V1G2	0.000318	0.0348	0.4890	0.79|0.529|0.441|0.416|0.247|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0	259|702|987|1084|2012|17469|17469|17469|17469|17469|17469|17469|17469|17469	11|8|9|12|5|5|7|1|2|2|3|0|0|1
157	20107	21703	AP2B1,EPS15,STON2,ITSN1	0.000250	0.0351	0.4895	0.543|0.271|0.252|0.0	668|1855|1982|17469	12|12|8|13
158	21964	cut0.2-59	ZNF471,ZNF382,ZNF570,ZNF529,ZNF582,ZNF546,ZNF829,ZNF567,ZNF383,ZNF607,ZFP30,RBAK,ZNF667,ZNF569,ZNF566,ZNF793,ZNF565,ZNF285,ZNF30,ZNF302,ZNF527,ZNF540,ZNF571,ZNF568,ZNF345,ZNF146,ZNF573,ZNF175,ZNF181,ZNF404,AIM1,ZNF585A,ZNF585B,ZNF780A,ZNF780B,HKR1,ZNF420,ZNF785,ZFP14,ZNF599,ZNF790,ZNF610,ZFP82,ZNF461,ZNF260,FAM200B,MLH1	0.001836	0.0355	0.4895	0.982|0.561|0.462|0.443|0.428|0.352|0.352|0.319|0.277|0.262|0.261|0.239|0.236|0.177|0.028|0.004|0.003|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0	117|626|921|975|1044|1383|1383|1550|1806|1911|1919|2063|2084|2535|3878|4140|4149|17469|17469|17469|17469|17469|17469|17469|17469|17469|17469|17469|17469|17469|17469|17469|17469|17469|17469|17469|17469|17469|17469|17469|17469|17469|17469|17469|17469|17469|17469	13|10|10|10|8|11|11|10|7|11|8|10|11|10|6|5|7|6|4|4|7|6|6|6|5|4|2|3|5|8|11|5|7|7|7|4|7|5|5|9|5|4|6|6|3|0|9
159	21614	23211	COL5A2,COL11A1,COL3A1,COL1A1,COL4A1,COL5A1,COL6A1,COL12A1,COL6A3,COL1A2,COL6A2	0.000112	0.0355	0.4895	0.919|0.657|0.388|0.06|0.0|0.0|0.0|0.0|0.0|0.0|0.0	158|429|1199|3543|17469|17469|17469|17469|17469|17469|17469	19|28|15|9|13|12|1|24|29|9|5
160	21718	23317	TP53,RB1,CDKN1A,ATM,ATR,CHEK2,SP1,KIF11,MTMR14,MDM2,E2F1,TP53BP1,MDM4,YLPM1,MRPL46	0.000091	0.0369	0.5056	3.608|2.747|2.124|1.908|1.248|0.493|0.265|0.122|0.106|0.0|0.0|0.0|0.0|0.0|0.0	1|3|10|13|52|818|1896|2968|3108|17469|17469|17469|17469|17469|17469	200|77|39|55|31|10|10|8|5|3|4|23|2|11|0
161	21761	23360	ACTB,CALD1,MYH10,ACTA2,PPP1R12A,CAPZA2,MYLK,TPM1,MYL9,ILK,CNN1,MYH11,TAGLN,PPP1R12B,FLNA,PDLIM7,MYH9,ACTG2,TPM2	0.000192	0.0372	0.5066	1.209|0.926|0.64|0.49|0.368|0.028|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0	57|151|455|828|1299|3878|17469|17469|17469|17469|17469|17469|17469|17469|17469|17469|17469|17469|17469	17|16|23|7|8|3|17|3|0|2|3|23|2|9|13|2|29|1|2
162	21895	23495	116 genes including: EP300,BCLAF1,SF3B1,SF3B3,THRAP3,HNRNPA2B1,U2AF1,CLK2,SNRPB,RBM14,HNRNPK,YTHDC1,KHDRBS1,FUS,DDX5,TRA2B,PLRG1,SRSF1,TPR,SF3A3,RBM39,SRSF2,HNRNPA3,DHX9,SAP18,HNRNPA1,CRNKL1,CPSF6,SRRT,SNW1,SNRPA1,HNRNPC,PRPF3,PRPF19,HNRNPH1,SRSF3,SNRPE,CLK1,HNRNPD,PPIG,SRSF4,HNRNPF,SNRPA,SRSF9,TRA2A,HNRNPU,ACIN1,RBMX,SYNCRIP,CDC40	0.004723	0.0376	0.5085	2.061|1.359|1.313|1.187|0.93|0.81|0.705|0.695|0.682|0.626|0.618|0.562|0.546|0.538|0.52|0.518|0.511|0.506|0.495|0.426|0.412|0.394|0.377|0.369|0.349|0.337|0.33|0.25|0.25|0.248|0.239|0.221|0.221|0.208|0.186|0.151|0.148|0.141|0.128|0.094|0.085|0.077|0.066|0.061|0.029|0.021|0.0|0.0|0.0|0.0	11|38|45|60|148|246|355|366|382|492|507|623|658|680|728|735|753|772|814|1050|1105|1177|1248|1293|1395|1459|1490|1999|1999|2009|2063|2188|2188|2273|2449|2723|2745|2798|2915|3230|3311|3386|3502|3532|3864|3950|17469|17469|17469|17469	63|22|24|22|17|11|8|11|7|7|9|8|9|9|11|7|8|6|26|7|9|5|5|19|4|7|12|6|12|7|4|3|10|6|5|3|2|7|4|8|6|4|7|3|3|9|16|3|2|4
163	21328	22924	MYO1F,IL16,FES,CD14,CD163,ITGAM,CYBB	0.000261	0.0378	0.5085	0.924|0.541|0.0|0.0|0.0|0.0|0.0	153|672|17469|17469|17469|17469|17469	20|11|4|3|11|14|3
164	20699	22295	CHEK2,WDR36,PWP2,TBL3,WDR3	0.000015	0.0384	0.5109	0.493|0.296|0.0|0.0|0.0	818|1689|17469|17469|17469	10|14|7|4|8
165	21967	cut0.2-62	55 genes including: HIST1H3B,HIST2H2BE,HIST1H3I,HIST1H2BF,HIST1H2BI,HIST1H4E,HIST1H2BH,HIST1H2BG,HIST1H3F,HIST1H3H,HIST1H2BJ,HIST1H2BK,HIST1H2AG,HIST1H2AL,HIST1H4D,HIST1H3E,NAP1L2,HIST1H2AE,HIST3H2BB,HIST2H3D,HIST1H4I,HIST1H2AH,SLC29A1,HIST1H3G,HIST1H1D,HIST1H2AB,HIST1H2AC,HIST1H2AK,HIST1H2AM,HIST1H2BD,HIST1H2BE,PABPC3,HIST1H2BL,HIST1H2BM,HIST1H2BN,HIST1H2BO,HIST1H3C,HIST1H3D,HIST1H3J,HIST1H4B,HIST1H4C,HIST1H4H,HIST1H4J,YPEL1,HIST2H2AA3,HIST2H2AA4,HIST2H2AB,HIST2H2AC,HIST2H2BF,HIST2H3C	0.005194	0.0387	0.5109	0.911|0.836|0.526|0.5|0.473|0.411|0.346|0.344|0.342|0.265|0.256|0.254|0.212|0.208|0.196|0.191|0.186|0.15|0.137|0.119|0.108|0.101|0.084|0.01|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0	164|223|711|797|879|1108|1411|1422|1435|1896|1951|1966|2252|2273|2364|2403|2449|2730|2830|2992|3085|3146|3320|4079|17469|17469|17469|17469|17469|17469|17469|17469|17469|17469|17469|17469|17469|17469|17469|17469|17469|17469|17469|17469|17469|17469|17469|17469|17469|17469	13|8|5|5|7|4|5|5|4|6|4|4|8|4|5|3|6|3|2|3|6|3|6|2|3|1|3|5|1|5|1|8|2|3|2|2|5|2|0|0|3|1|1|1|0|0|3|4|2|0
166	20707	22303	NDC80,BUB1,SKA1,SKA3,CDK1	0.000125	0.0389	0.5109	0.912|0.473|0.0|0.0|0.0	163|879|17469|17469|17469	15|15|1|3|1
167	21628	23225	CYC1,COX5A,NDUFAB1,COX7B,COX5B,COX6B1,ATP5O,COX8A,MT-ATP6,NDUFB3,ATP5G1,ATP5G3	0.000359	0.0391	0.5109	0.653|0.492|0.343|0.19|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0	436|821|1426|2408|17469|17469|17469|17469|17469|17469|17469|17469	8|5|4|2|0|0|2|0|0|0|1|1
168	21809	23408	CSNK2A1,LEO1,WAC,MCM4,MTDH,CTR9,H2AFX,POLR2C,PAF1,RNF40,XRCC5,DNMT3A,POLR2A,SSRP1,CSNK2A2,WDR61,CSNK2B,HIST1H3A,SUPT5H,CDC73,TCEA1,RNF20,NELFA,SUPT16H,RBBP4,RTF1	0.000277	0.0393	0.5109	0.889|0.884|0.792|0.783|0.596|0.43|0.392|0.048|0.018|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0	181|185|257|268|550|1035|1185|3657|3985|17469|17469|17469|17469|17469|17469|17469|17469|17469|17469|17469|17469|17469|17469|17469|17469|17469	12|13|15|13|7|10|4|4|6|8|2|8|11|8|1|1|0|1|11|5|0|1|5|18|6|3
169	20681	22277	ARID1A,ARID1B,SMARCC1,SMARCA4,SS18L1	0.000118	0.0395	0.5109	2.674|1.009|0.394|0.069|0.0	5|109|1177|3465|17469	104|24|10|24|0
170	20735	22331	COL5A2,COL3A1,COL1A1,COL1A2,COL5A1	0.000032	0.0396	0.5109	0.919|0.388|0.06|0.0|0.0	158|1199|3543|17469|17469	19|15|9|9|12
171	20871	22467	MED17,CDK8,MED28,CDK19,MED25	0.000091	0.0402	0.5156	0.284|0.27|0.269|0.0|0.0	1767|1865|1875|17469|17469	6|6|3|3|4
172	20980	22576	MCM4,MCM7,MCM5,MCM2,MCM3,MCM6	0.000096	0.0407	0.5171	0.783|0.283|0.118|0.0|0.0|0.0	268|1776|3000|17469|17469|17469	13|10|6|6|2|8
173	20015	21611	USP8,CHMP1B,CHMP1A,IST1	0.000129	0.0410	0.5171	0.417|0.315|0.0|0.0	1082|1574|17469|17469	14|4|0|2
174	20940	22536	FBLN1,APOA4,DCN,DPT,COL6A1	0.000194	0.0414	0.5171	0.641|0.23|0.132|0.0|0.0	454|2117|2879|17469|17469	9|5|5|1|1
175	21097	22693	FGA,CFB,C4BPB,FGB,CRP,FGG	0.000125	0.0414	0.5171	0.533|0.237|0.186|0.0|0.0|0.0	691|2075|2449|17469|17469|17469	14|10|4|4|2|7
176	21484	23080	PAK3,ARHGAP32,RAC1,CDC42,PARD6B,BIRC2,IQGAP3,PARD6A,MAP3K10	0.000193	0.0416	0.5171	0.55|0.442|0.427|0.328|0.019|0.0|0.0|0.0|0.0	647|981|1048|1497|3971|17469|17469|17469|17469	11|23|5|4|4|3|10|5|3
177	22338	cut0.3-329	MS4A2,CPA3,TPSAB1,TPSB2	0.000231	0.0423	0.5171	0.44|0.34|0.0|0.0	992|1445|17469|17469	6|7|2|0
178	20757	22353	PSMA6,PSMA5,PSMB4,PSME1,PSMA1	0.000116	0.0423	0.5171	0.409|0.378|0.0|0.0|0.0	1117|1242|17469|17469|17469	6|5|2|2|3
179	20255	21851	DDX18,NAT10,DDX47,MYBBP1A	0.000214	0.0424	0.5171	0.428|0.42|0.0|0.0	1044|1073|17469|17469	9|13|2|5
180	22487	cut0.3-476	858 genes including: TP53,RB1,ARID1A,CDKN1A,EP300,ERCC2,ATM,FBXW7,CREBBP,CDKN2A,ATAD5,ATR,PTEN,BRCA1,SMARCA2,RNF111,ATAD2,USP7,E2F8,BRCA2,KIF15,RUNX1,NDC80,HIST1H3B,CTNNB1,CLASP2,BRIP1,BARD1,HAUS3,MCM4,BUD13,ARID4A,MIER1,YME1L1,RIF1,DDX52,AXIN2,CDC27,FBXO43,SMC2,TLK2,TICRR,POLE,MYH10,SMC4,DEPDC1,SIRT1,ZFYVE9,CENPT,TACC3	0.064312	0.0425	0.5171	3.608|2.747|2.674|2.124|2.061|1.915|1.908|1.885|1.788|1.742|1.509|1.248|1.205|1.175|1.089|1.009|0.964|0.949|0.941|0.923|0.921|0.915|0.912|0.911|0.891|0.869|0.831|0.83|0.823|0.783|0.763|0.749|0.745|0.728|0.726|0.72|0.694|0.683|0.681|0.664|0.663|0.658|0.652|0.64|0.634|0.626|0.623|0.611|0.595|0.594	1|3|5|10|11|12|13|14|16|18|26|52|58|62|84|109|124|138|142|154|156|161|163|164|178|202|229|230|239|268|291|302|307|329|334|343|367|381|386|411|412|426|437|455|474|492|495|523|551|552	200|77|104|39|63|38|55|33|51|27|28|31|16|21|26|17|24|15|16|40|18|13|15|13|14|14|21|11|11|13|12|15|11|15|20|10|16|9|11|16|12|20|25|23|17|10|10|23|9|9
181	21965	cut0.2-60	63 genes including: ZNF471,ZNF773,ZNF543,ZNF225,ZNF658,ZFP28,ZNF160,ZNF470,ZIK1,ZNF548,ZNF567,ZNF224,ZNF284,ZNF528,ZFP2,ZNF550,ZNF222,ZNF45,ZNF677,ZNF761,TRMT10B,ZNF304,ZNF530,ZNF615,ZNF329,ZNF547,ZNF112,ZNF549,ZNF551,ZNF749,ZNF808,ZNF132,ZNF416,ZNF134,ZNF559,ZNF417,ZNF805,ZNF169,ZNF17,ZNF177,ZNF772,ZNF583,ZNF776,ZNF587,ZNF780B,ZNF234,ZNF418,ZNF419,ZNF211,ZNF606	0.002964	0.0429	0.5171	0.982|0.688|0.649|0.553|0.539|0.524|0.502|0.464|0.383|0.369|0.319|0.239|0.23|0.179|0.164|0.11|0.039|0.036|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0	117|374|441|642|677|716|791|911|1220|1293|1550|2063|2117|2510|2632|3066|3737|3779|17469|17469|17469|17469|17469|17469|17469|17469|17469|17469|17469|17469|17469|17469|17469|17469|17469|17469|17469|17469|17469|17469|17469|17469|17469|17469|17469|17469|17469|17469|17469|17469	13|9|11|9|7|8|13|10|8|9|10|10|9|8|6|4|6|9|4|0|4|5|5|10|8|4|10|6|5|6|10|5|0|3|4|3|5|0|4|2|1|8|2|6|7|5|6|3|5|10
182	21786	23385	STAT1,HERC6,EIF2AK2,IFI44,MX1,OAS3,DDX58,DTX3L,IFI35,CMPK2,NMI,IFIH1,IFIT1,ISG15,IFIT3,OAS1,OAS2,XAF1,DDX60,DDX60L,USP18,HERC5,TAP1,TAP2	0.000213	0.0429	0.5171	0.688|0.567|0.469|0.291|0.286|0.23|0.161|0.051|0.002|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0	374|614|894|1724|1753|2117|2654|3632|4163|17469|17469|17469|17469|17469|17469|17469|17469|17469|17469|17469|17469|17469|17469|17469	11|11|9|5|9|9|9|7|3|2|3|8|3|0|3|4|14|3|12|10|3|5|4|2
183	20559	22155	HNRNPA2B1,HNRNPA3,HNRNPH2,HNRNPH3	0.000148	0.0440	0.5275	0.81|0.377|0.0|0.0	246|1248|17469|17469	11|5|2|3
184	21646	23244	ARRDC3,LATS1,AMOT,UBE2L3,UBE2D1,SGK1,NF2,NDFIP2,LITAF,NEDD4,RNF11,NEDD4L	0.000510	0.0447	0.5304	0.77|0.729|0.432|0.169|0.041|0.0|0.0|0.0|0.0|0.0|0.0|0.0	285|325|1032|2600|3713|17469|17469|17469|17469|17469|17469|17469	9|16|10|3|2|5|11|1|1|6|1|3
185	22457	cut0.3-449	PTEN,ATP6V1A,ATP6V1H,ATP6V1B1,ATP6V0A1,ATP6V1C1,STOM,ATP6AP2,ATP6V0A4,TCIRG1,CLCN6,CRLS1,ATP6V1E1,RAB7A,ATP6AP1,TMEM199,REN,ATP6V0A2,ATP6V0C,ATP6V0D1,ATP6V0D2,ATP6V1B2,ATP6V1C2,ATP6V1D,CLCN7,ATP6V1E2,ATP6V1F,ATP6V1G1,ATP6V1G2,CCDC115,MITD1,GOLT1B,ENTPD4	0.000956	0.0449	0.5304	1.205|0.79|0.529|0.441|0.416|0.394|0.329|0.247|0.078|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0	58|259|702|987|1084|1177|1493|2012|3378|17469|17469|17469|17469|17469|17469|17469|17469|17469|17469|17469|17469|17469|17469|17469|17469|17469|17469|17469|17469|17469|17469|17469|17469	16|11|8|9|12|6|5|5|8|5|6|1|3|0|4|1|3|7|1|1|4|2|3|2|2|2|0|0|1|2|2|0|0
186	20598	22194	TRRAP,SUPT3H,KAT2A,KAT2B	0.000043	0.0456	0.5304	1.345|0.229|0.171|0.0	40|2123|2581|17469	38|5|8|4
187	21549	23146	NDC80,MCM4,MCM7,CDC45,DBF4,TPX2,CDC7,MCM2,CLSPN,CDK2	0.000200	0.0459	0.5304	0.912|0.783|0.283|0.111|0.002|0.0|0.0|0.0|0.0|0.0	163|268|1776|3055|4163|17469|17469|17469|17469|17469	15|13|10|8|10|7|3|6|12|1
188	20740	22336	CNOT1,CNOT10,CNOT6L,CNOT11,CNOT2	0.000088	0.0462	0.5304	0.607|0.31|0.0|0.0|0.0	531|1605|17469|17469|17469	24|8|3|2|4
189	20474	22070	SNAP23,VAMP8,STX12,STX6	0.000075	0.0462	0.5304	0.294|0.179|0.053|0.0	1704|2510|3604|17469	4|2|3|2
190	20427	22023	ERCC2,CDK7,CCNH,MNAT1	0.000040	0.0462	0.5304	1.915|0.382|0.0|0.0	12|1223|17469|17469	38|6|3|4
191	20798	22394	HNRNPA2B1,HNRNPA1,HNRNPH1,HNRNPF,SYNCRIP	0.000098	0.0463	0.5304	0.81|0.337|0.186|0.077|0.0	246|1459|2449|3386|17469	11|7|5|4|2
192	22471	cut0.3-461	73 genes including: RHOA,PLCB1,GNA13,NRAS,PAK3,PAK2,KIDINS220,GNG4,PDCL,S1PR1,GNB3,MAPK3,RGS7,RGS6,GNAI3,MAGED2,NMT1,RGS5,CCT2,RIC8A,GNAI2,GNG12,GNG2,GNG5,GNB1,GNG11,CBFB,RGS19,XPR1,CACNA1D,GNA11,ZDHHC17,GPR143,RHOC,PAK1,TNF,AMPD2,STK11,ADRB2,RGL2,RAP1B,RAP1GAP,GPSM1,RGS11,RGS12,RGS14,TXNDC9,STMN2,RGS7BP,RGS9	0.002645	0.0464	0.5304	1.462|1.074|0.906|0.749|0.55|0.548|0.514|0.476|0.466|0.454|0.39|0.346|0.295|0.274|0.236|0.226|0.118|0.115|0.084|0.078|0.054|0.044|0.037|0.024|0.015|0.012|0.009|0.004|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0	30|86|168|302|647|652|745|862|904|941|1190|1411|1697|1827|2084|2154|3000|3023|3320|3378|3596|3687|3764|3911|4015|4054|4084|4140|17469|17469|17469|17469|17469|17469|17469|17469|17469|17469|17469|17469|17469|17469|17469|17469|17469|17469|17469|17469|17469|17469	19|18|12|8|11|10|21|4|6|8|6|8|8|6|6|7|6|2|5|2|5|1|1|1|4|1|2|3|12|15|3|1|1|0|4|3|6|1|4|5|2|4|5|2|13|7|1|1|2|6
193	22322	cut0.3-310	EDNRB,EDN2,EDN3,EDNRA	0.000234	0.0468	0.5322	0.461|0.349|0.0|0.0	926|1395|17469|17469	8|4|2|4
194	21197	22793	COX5A,NDUFAB1,NDUFB5,COX5B,ATP5O,NDUFA6	0.000158	0.0492	0.5566	0.492|0.343|0.196|0.0|0.0|0.0	821|1426|2364|17469|17469|17469	5|4|3|0|2|1
195	21113	22709	PIK3CA,PIK3R1,PIK3R3,PIK3R2,IRS2,CCND1	0.000166	0.0503	0.5661	2.782|0.31|0.22|0.0|0.0|0.0	2|1605|2192|17469|17469|17469	89|7|6|4|3|5
196	22488	cut0.3-477	758 genes including: PIK3CA,ARID1A,CDKN1A,CDKN2A,RHOB,NFE2L2,RHOA,DIAPH2,KRAS,HSP90AA1,ACTB,PTEN,EPHA2,TRIO,SSH3,SLIT2,RAI14,ARHGAP35,ZMYM4,CALD1,COL5A2,CAP1,LRRFIP2,TLN1,VCAN,PHLDB2,BRIP1,ADCY8,FOXA1,FNDC3A,ACTG1,CEP170,TNS1,PTPRD,FILIP1,MYO1B,LPP,ITGB3,COL11A1,LUZP1,LAMA4,FBLN1,MYH10,CCDC88A,DOCK7,IKBIP,MTDH,CDKN1B,CLTC,PICALM	0.067029	0.0510	0.5711	2.782|2.674|2.124|1.742|1.713|1.584|1.462|1.288|1.252|1.227|1.209|1.205|1.16|1.153|1.116|1.04|1.034|1.014|0.989|0.926|0.919|0.885|0.879|0.876|0.848|0.84|0.831|0.829|0.794|0.759|0.742|0.741|0.729|0.712|0.699|0.687|0.661|0.66|0.657|0.647|0.645|0.641|0.64|0.634|0.62|0.61|0.596|0.587|0.571|0.568	2|5|10|18|20|23|30|49|51|55|57|58|67|69|77|99|102|104|115|151|158|184|191|194|213|219|229|231|256|294|309|311|325|351|361|379|419|421|429|444|447|454|455|474|502|524|550|568|605|611	89|104|39|27|25|26|19|21|15|21|17|16|22|34|17|18|17|25|20|16|19|12|11|20|36|20|21|21|13|13|11|17|19|27|15|12|10|9|28|9|24|9|23|28|19|12|7|6|19|9
197	21618	23215	CTNNB1,AXIN2,HLA-A,APC,MUC1,AXIN1,GSK3A,GSK3B,AKAP11,PRKACA,AKT1	0.000029	0.0513	0.5716	0.891|0.694|0.271|0.211|0.0|0.0|0.0|0.0|0.0|0.0|0.0	178|367|1855|2258|17469|17469|17469|17469|17469|17469|17469	14|16|5|25|2|5|1|4|15|2|4
198	21089	22685	PSMC6,PAAF1,PSMC1,PSMC2,PSMD8,PSMD14	0.000117	0.0518	0.5717	0.871|0.401|0.0|0.0|0.0|0.0	198|1150|17469|17469|17469|17469	11|7|2|7|1|0
199	21711	23310	NDC80,PRC1,BUB1,SPAG5,KIF11,TPX2,TOP2A,HJURP,NCAPG,NCAPH,NUF2,KIF2C,CENPE,CENPF,KIF18A	0.000173	0.0525	0.5717	0.912|0.549|0.473|0.454|0.122|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0	163|650|879|941|2968|17469|17469|17469|17469|17469|17469|17469|17469|17469|17469	15|10|15|10|8|7|9|5|4|3|4|3|20|24|9
200	21432	23028	BRCA1,BARD1,BRE,FAM175B,UIMC1,BABAM1,FAM175A,BRCC3	0.000143	0.0528	0.5717	1.175|0.83|0.332|0.237|0.0|0.0|0.0|0.0	62|230|1482|2075|17469|17469|17469|17469	21|11|7|7|6|3|1|2
201	20586	22182	NUP107,NUP43,NUP85,NUP160	0.000012	0.0528	0.5717	0.879|0.264|0.0|0.0	191|1901|17469|17469	12|6|9|13
202	21247	22843	FGA,SAA1,SAA2,ORM1,FGB,ORM2,HP	0.000127	0.0529	0.5717	0.533|0.314|0.144|0.13|0.0|0.0|0.0	691|1580|2775|2894|17469|17469|17469	14|3|2|2|4|1|0
203	21616	23213	EXOSC10,EXOSC9,EXOSC5,MPHOSPH6,EXOSC4,EXOSC1,EXOSC2,EXOSC3,EXOSC6,EXOSC7,EXOSC8	0.000075	0.0533	0.5717	0.599|0.407|0.275|0.258|0.099|0.0|0.0|0.0|0.0|0.0|0.0	544|1130|1823|1939|3173|17469|17469|17469|17469|17469|17469	14|8|4|3|3|2|2|0|1|3|3
204	20799	22395	TAF11,TAF15,TAF13,TAF7,TAF5	0.000143	0.0534	0.5717	0.833|0.303|0.078|0.0|0.0	226|1649|3378|17469|17469	9|7|2|2|4
205	20310	21906	ARVCF,PSEN1,CDH1,PKP4	0.000039	0.0537	0.5717	0.34|0.142|0.136|0.0	1445|2792|2842|17469	12|8|12|7
206	21299	22895	YWHAZ,YWHAG,YWHAQ,SFN,YWHAB,YWHAE,YWHAH	0.000012	0.0538	0.5717	0.578|0.164|0.064|0.0|0.0|0.0|0.0	587|2632|3513|17469|17469|17469|17469	7|4|3|1|2|3|1
207	21030	22626	UBA52,C19orf53,USE1,PGLS,NDUFA13,WDR83OS	0.000181	0.0544	0.5717	0.5|0.289|0.145|0.0|0.0|0.0	797|1736|2765|17469|17469|17469	7|3|4|0|1|1
208	21264	22860	GC,APOA4,ALB,ORM1,C9,KNG1,C4B	0.000070	0.0545	0.5717	0.321|0.23|0.15|0.13|0.039|0.0|0.0	1539|2117|2730|2894|3737|17469|17469	6|5|8|2|8|4|3
209	20829	22425	C1QA,CD33,IGF1,DOK2,CSF1R	0.000149	0.0550	0.5717	0.316|0.305|0.097|0.085|0.019	1566|1639|3203|3311|3971	3|6|2|4|10
210	20790	22386	UBL4A,GET4,ASNA1,RNF126,BAG6	0.000042	0.0550	0.5717	0.605|0.25|0.116|0.0|0.0	538|1999|3016|17469|17469	6|4|5|3|3
211	20472	22068	CDKN1A,PCNA,DTL,CDT1	0.000035	0.0551	0.5717	2.124|0.328|0.188|0.0	10|1497|2425|17469	39|5|6|3
212	20208	21804	USP8,BIRC6,RNF41,MCPH1	0.000166	0.0553	0.5717	0.417|0.375|0.0|0.0	1082|1256|17469|17469	14|53|3|7
213	21249	22845	ARHGAP30,IL12B,CRTAM,CD2,CD6,CCR5,IL2	0.000129	0.0560	0.5717	0.728|0.165|0.152|0.144|0.0|0.0|0.0	329|2623|2717|2775|17469|17469|17469	13|4|5|5|3|5|1
214	20464	22060	EIF3A,EIF3M,EIF3E,EIF3J	0.000062	0.0562	0.5717	0.491|0.22|0.0|0.0	825|2192|17469|17469	15|6|5|2
215	20753	22349	NUP107,NXF1,NUP88,NXT1,NUP98	0.000032	0.0563	0.5717	0.879|0.43|0.124|0.0|0.0	191|1035|2951|17469|17469	12|10|9|0|12
216	20240	21836	CREB5,JUN,FOSL1,FOS	0.000105	0.0565	0.5717	0.659|0.175|0.149|0.0	423|2554|2737|17469	10|4|4|4
217	21725	23324	LEO1,MCM4,MTDH,CTR9,H2AFX,POLR2C,PAF1,SUPT5H,XRCC5,POLR2A,RBBP4,CSNK2B,NELFA,SUPT16H,SSRP1	0.000049	0.0565	0.5717	0.884|0.783|0.596|0.43|0.392|0.048|0.018|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0	185|268|550|1035|1185|3657|3985|17469|17469|17469|17469|17469|17469|17469|17469	13|13|7|10|4|4|6|11|2|11|6|0|5|18|8
218	21787	23386	RBBP6,PCF11,PAPOLA,PPP1CA,RPL4,CSTF2,GTF3C3,FIP1L1,TERT,PPP1CC,SYMPK,CPSF1,CPSF2,CPSF3,CPSF4,SSU72,POLR2A,WWOX,CDC73,CLP1,CSTF1,CSTF2T,CSTF3,WDR33	0.000380	0.0576	0.5786	1.002|0.895|0.895|0.517|0.486|0.128|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0	111|176|176|736|837|2915|17469|17469|17469|17469|17469|17469|17469|17469|17469|17469|17469|17469|17469|17469|17469|17469|17469|17469	20|20|11|7|7|4|9|5|4|2|10|9|4|8|4|2|11|4|5|3|2|7|3|14
