System.names	No.genes	Selection.pressure	p	q	Genes	Gene.ranks	Signal
JUNB	340	0.0013	0.485	0.9747	TRIM25|MTHFS|SLC25A16|ADA|SLC2A3|UBE2L3|FCER1G|LILRB2|TNFAIP3|R3HDM1|POLD1|PMPCA|PADI2|EPHB6|CAPN2|STMN1|PLAT|NR4A2|ACP5|RPS6KA3	8|32|36|43|91|106|129|176|184|251|253|257|261|269|307|316|333|364|376|388	6.26|5.75|5.72|5.68|5.41|-5.34|5.27|-5.07|5.05|4.83|4.82|-4.81|-4.79|-4.77|-4.7|4.68|4.64|4.56|-4.53|4.51
GTF2I	218	0.0015	0.486	0.9747	GATA3|CEP110|SERPINA1|TNFRSF8|ENSA|FCER1G|TNKS|EIF5|SRGN|SELE|FHL2|THBS2|FAM120A|PCDHGA12|ICAM1|DYNC1H1|RFC1|MEF2C|PLAUR|STAT4	19|46|63|103|112|129|228|293|312|327|348|348|358|438|485|529|529|534|580|586	5.95|-5.67|5.54|5.36|5.32|5.27|4.9|-4.72|-4.69|-4.65|-4.61|-4.61|4.58|-4.41|4.3|4.22|-4.22|-4.21|4.14|4.13
TOP2B	212	0.0015	0.486	0.9747	U2AF2|RRN3|IFI35|PRKAA2|BTAF1|CA11|PMF1|NR1D1|FCGR3A|TICAM1|SLC26A2|EXTL3|ZNF273|VHL|CSRP1|MDH1|ZBTB48|SRSF10|RFC1|ERCC3	49|77|103|135|160|164|186|244|269|280|327|344|397|415|467|472|479|509|529|566	-5.62|5.48|5.36|5.24|5.13|5.11|5.04|4.85|4.77|4.75|-4.65|-4.62|-4.49|-4.46|4.34|4.33|-4.31|-4.26|-4.22|-4.16
GATA1	444	0.0013	0.488	0.9747	POP5|LDHA|MANF|BTN1A1|RFK|BUB3|RDBP|UBE2L3|RRP12|TTLL12|SRSF3|ERH|ACOT7|KCNA5|PLXNA2|ATP5C1|CA11|PLCB2|ZBTB16|WDR46	2|5|30|43|63|70|70|106|110|117|135|142|146|156|156|160|164|187|190|216	6.45|6.34|5.77|5.68|5.54|5.51|5.51|-5.34|5.33|5.3|-5.24|-5.21|-5.17|5.14|5.14|5.13|5.11|5.03|5.02|-4.93
ZNF467	247	0.0014	0.49	0.9747	MANF|DENND5A|FABP5|ENSA|RAP2A|TMSB15A|MAGI2|CNPY3|POLD3|LDB2|GYS2|TNFRSF10B|PTPRG|UGT2B7|PCDHGA12|GALNS|ATXN2L|GATM|IVD|BUB1B	30|46|75|112|164|184|216|248|269|280|307|369|388|426|438|442|445|456|472|529	5.77|5.67|5.49|5.32|5.11|-5.05|4.93|-4.84|4.77|4.75|4.7|-4.55|-4.51|4.44|-4.41|4.39|4.38|-4.36|-4.33|-4.22
FUBP1	333	0.0013	0.491	0.9747	WNT10B|MTMR11|MTF1|CLPS|ARL4A|BUB3|ABCC10|CLEC11A|ATP6V0C|UBE2L3|FMOD|SRSF3|ATP5C1|HNRNPK|RPIA|MAT2A|E2F3|BANF1|VPS11|MST1	8|25|39|49|70|70|75|82|100|106|110|135|160|168|190|219|244|293|319|388	6.26|-5.84|5.71|5.62|5.51|5.51|5.49|5.45|-5.38|-5.34|5.33|-5.24|5.13|5.1|5.02|4.92|4.85|4.72|4.67|4.51
ZMYND8	410	0.0012	0.491	0.9747	WNT10B|VPS13D|CLTA|PSMC1|PIK3C3|KIAA0141|MTHFD2|RAD23B|TNFRSF8|RBM39|HIST1H3D|ATP5C1|KIF3B|LRRC32|HNRNPK|ABCB9|RECQL|PIGH|PMVK|ADD1	8|15|28|36|39|40|75|100|103|142|156|160|161|164|168|199|202|228|228|234	6.26|6.05|5.8|5.72|5.71|5.69|-5.49|5.38|5.36|5.21|5.14|5.13|5.12|5.11|5.1|5|4.99|-4.9|-4.9|4.88
RFXAP	206	0.0015	0.492	0.9747	RANBP6|FMNL1|ZBTB16|POLD1|RHOQ|DBF4|MRPS11|GRLF1|FLT3|ADPRH|ASAP2|MNT|S100A1|TAL1|ITGB5|TIMELESS|DYNC1H1|RAG2|APOBEC3C|ALDH5A1	137|168|190|253|293|307|307|327|369|407|418|442|442|459|518|524|529|534|580|590	5.23|5.1|5.02|4.82|-4.72|4.7|-4.7|4.65|4.55|-4.47|4.45|4.39|4.39|4.35|-4.24|-4.23|4.22|4.21|4.14|-4.12
TRIM29	155	0.0018	0.494	0.9747	CLPS|KCNA3|CAMTA1|ARHGAP6|RPS19|HBXIP|ADAM28|KRT5|SERPINA5|VWF|SNX27|ZNF593|MST1|MET|IVD|PRKAB1|EIF2B5|HMGA2|KRT4|PCNA	49|70|80|148|148|234|257|257|275|327|333|369|388|432|472|479|494|580|736|747	5.62|5.51|5.46|5.16|5.16|-4.88|4.81|-4.81|4.76|-4.65|-4.64|-4.55|4.51|4.43|-4.33|4.31|4.29|-4.14|3.9|-3.89
BRD8	292	0.0013	0.494	0.9747	MTHFS|RAB3GAP2|ARL4A|RRP12|UTF1|EIF4G3|SNRNP40|ARID4A|STXBP3|MPG|POLD3|EPRS|MRFAP1L1|GATA4|KDM6B|TBCE|ARCN1|KDELR2|ST20|GALNS	32|54|70|110|115|130|199|209|244|269|269|284|327|344|373|402|426|432|436|442	5.75|5.58|5.51|5.33|5.31|5.26|5|4.96|-4.85|4.77|4.77|4.74|4.65|4.62|-4.54|4.48|-4.44|-4.43|4.42|4.39
ZNF410	257	0.0015	0.495	0.9747	POU3F2|NLGN4Y|LCP1|ACADL|SNRNP27|POLR2F|GFPT2|PMVK|USPL1|IDI1|MYO1B|CCDC6|HP|CEP68|ZNF273|PCDHGA12|ANKRD40|ATP6V0A2|IKZF1|GZMK	18|78|126|129|135|139|199|228|236|269|280|297|352|364|397|438|494|518|536|547	6|5.47|5.28|-5.27|5.24|5.22|-5|-4.9|4.87|-4.77|-4.75|4.71|4.59|4.56|-4.49|-4.41|-4.29|-4.24|-4.2|4.18
TAL1	354	0.0013	0.496	0.9747	VPS13D|SPON1|ADA|BPGM|SMAP1|SERPINA1|BUB3|CAMTA1|UBE2E1|SLC25A3|TNFRSF8|NADK|DKK4|DRG1|KIF3B|IDH3G|POLD4|CTNND1|R3HDM1|PMPCA	15|16|43|43|56|63|70|80|87|93|103|120|126|152|161|172|186|216|251|257	6.05|-6.04|5.68|5.68|-5.57|5.54|5.51|5.46|5.42|5.4|5.36|-5.29|-5.28|5.15|5.12|-5.08|5.04|-4.93|4.83|-4.81
ZNF318	355	0.0013	0.496	0.9747	QPCT|CEP110|ALDH9A1|SERPINA1|DNM1L|TPP1|ENSA|PHF21A|PTPRE|CTNND1|TNKS|SCRN1|GRLF1|MRFAP1L1|ID2|FCHSD2|ZNF593|UVRAG|CDC45|ATP7A	29|46|61|63|84|101|112|156|176|216|228|275|327|327|344|358|369|436|456|467	5.78|-5.67|5.55|5.54|5.43|5.37|5.32|-5.14|-5.07|-4.93|4.9|4.76|4.65|4.65|4.62|-4.58|-4.55|-4.42|-4.36|4.34
RBL2	390	0.0013	0.498	0.9747	RABEPK|PSMC1|ABCC10|FABP5|MGST3|ST5|PTPRCAP|TPP1|CLK1|ACOT7|HMGA1|PHF21A|ZEB2|RNF41|POLD3|USP24|C1orf9|FCHSD2|ZNF593|SKIV2L2	1|36|75|75|91|93|96|101|135|146|152|156|222|248|269|297|319|358|369|426	6.47|5.72|5.49|5.49|5.41|5.4|5.39|5.37|5.24|-5.17|5.15|-5.14|4.91|-4.84|4.77|4.71|4.67|-4.58|-4.55|4.44
BARX2	178	0.0016	0.505	0.9747	AMH|ADA|ERH|ARHGAP6|CTNND1|WDR46|LPHN3|PFAS|DDIT4|SPAG7|CAP2|SAFB|TBXAS1|SPTB|NDUFS1|PATZ1|HMGA2|ICAM4|AGFG2|TRAPPC3	9|43|142|148|216|216|259|284|344|382|392|397|499|509|524|574|580|586|655|655	6.23|5.68|-5.21|5.16|-4.93|-4.93|-4.8|-4.74|-4.62|4.52|4.5|4.49|-4.28|-4.26|4.23|-4.15|-4.14|-4.13|-4.01|4.01
ZNF142	259	0.0014	0.511	0.9747	ROR1|TRIM25|BTBD3|ABCF1|TSN|CS|ABCC10|SLC2A3|CLCN7|C1QL1|EEF2|SELE|DOK1|SPAG7|RNASE6|DHX9|GALNT1|RBP4|UBE2N|PSMD13	6|8|39|56|61|66|75|91|126|194|307|327|351|382|426|456|485|503|513|566	6.33|6.26|-5.71|5.57|5.55|5.52|5.49|5.41|5.28|5.01|-4.7|-4.65|-4.6|4.52|-4.44|-4.36|-4.3|-4.27|4.25|-4.16
STAT5A	366	0.0014	0.512	0.9747	RABEPK|POP5|GATA3|KIAA0141|ABCF1|RFK|PRKAR1B|PTPRCAP|BCL2|RRP12|TTLL12|HNRNPK|GTF2I|RPIA|ABCB9|M6PR|PLA2G4C|ARNTL|APBB1|PTPRN2	1|2|19|40|56|63|66|96|106|110|117|168|172|190|199|202|212|236|275|333	6.47|6.45|5.95|5.69|5.57|5.54|-5.52|5.39|5.34|5.33|5.3|5.1|-5.08|5.02|5|-4.99|4.94|-4.87|4.76|4.64
PA2G4	314	0.0013	0.512	0.9747	CS|PRKAR1B|BUB3|SLC2A3|SLC25A3|ST5|ENDOD1|TTLL12|ABHD5|MAT2A|SOD1|ETFDH|EPRS|OSTF1|APOBEC3F|SLC5A6|UVRAG|INTS1|RELN|MYD88	66|66|70|91|93|93|117|117|139|219|234|244|284|392|397|415|436|547|574|624	5.52|-5.52|5.51|5.41|5.4|5.4|-5.3|5.3|5.22|4.92|-4.88|-4.85|4.74|-4.5|-4.49|4.46|-4.42|-4.18|-4.15|-4.06
TADA3	265	0.0013	0.513	0.9747	LDHA|QPCT|BPGM|PRKAR1B|ENDOD1|LCP1|SPAG9|SRF|POLD4|SERPINB6|PLA2G4C|PIGH|NQO1|ARNTL|RNF41|EIF5|NRD1|PTPRG|ISCA1|C11orf51	5|29|43|66|117|126|135|176|186|194|212|228|230|236|248|293|297|388|402|415	6.34|5.78|5.68|-5.52|-5.3|5.28|5.24|5.07|5.04|5.01|4.94|-4.9|4.89|-4.87|-4.84|-4.72|4.71|-4.51|4.48|4.46
CBFB	233	0.0013	0.514	0.9747	COX10|MANF|PIK3C3|BUB3|CLEC11A|EIF4G3|UBE2A|NFX1|NR1D1|POLD3|CFD|CUL3|STMN1|CD3G|PSPH|GATA4|CAPG|PCDHGA12|DHX9|ABP1	4|30|39|70|82|130|210|228|244|269|289|297|316|327|338|344|376|438|456|467	6.37|5.77|5.71|5.51|5.45|5.26|-4.95|4.9|4.85|4.77|4.73|-4.71|4.68|4.65|4.63|4.62|4.53|-4.41|-4.36|-4.34
RBL1	164	0.0015	0.515	0.9747	WNT10B|AMH|CSNK1D|THOC2|APBB1|GPLD1|GRLF1|C11orf49|CTF1|LGR5|PCDHGA12|SLC17A1|OAS2|HMGA2|ALDH5A1|FGA|TBX19|DUSP6|TKT|AGFG2	8|9|20|115|275|284|327|351|382|402|438|439|529|580|590|598|598|618|618|655	6.26|6.23|5.94|5.31|4.76|4.74|4.65|4.6|-4.52|-4.48|-4.41|-4.4|4.22|-4.14|-4.12|4.11|4.11|-4.07|4.07|-4.01
ZBED4	204	0.0015	0.515	0.9747	ABCF1|CLEC11A|VDAC2|THUMPD1|C1QL1|CD14|WDR46|MAT2A|LYPLA1|ARNTL|R3HDM1|EPHB6|POLD3|PFAS|DBF4|EEF2|P2RX1|PCDHGA12|DHX9|TOP1	56|82|144|160|194|207|216|219|222|236|251|269|269|284|307|307|376|438|456|485	5.57|5.45|-5.19|5.13|5.01|4.97|-4.93|4.92|4.91|-4.87|4.83|-4.77|4.77|-4.74|4.7|-4.7|4.53|-4.41|-4.36|4.3
ISL1	197	0.0016	0.518	0.9747	DENND5A|KCNA5|PLXNA2|SULT4A1|NR1D1|NFAT5|SRGN|JUP|CTF1|LGR5|CDKN1B|SLC17A1|CHRND|TAL1|ARR3|DOK2|HMGA2|BAIAP2|AGFG2|POU4F1	46|156|156|205|244|312|312|348|382|402|407|439|456|459|499|503|580|647|655|655	5.67|5.14|5.14|4.98|4.85|-4.69|-4.69|4.61|-4.52|-4.48|-4.47|-4.4|4.36|4.35|4.28|-4.27|-4.14|4.02|-4.01|-4.01
NFE2	264	0.0013	0.518	0.9747	BUB3|THOC2|SRSF3|HMGA1|KCNA5|PLXNA2|LRRC32|LILRB2|SLC25A12|SNRPC|CFD|FBXO9|RNASE2|STMN1|RFPL1|FLT3|ISCA1|ARCN1|TAL1|PCK1	70|115|135|152|156|156|164|176|194|261|289|289|289|316|344|369|402|426|459|479	5.51|5.31|-5.24|5.15|5.14|5.14|5.11|-5.07|5.01|4.79|4.73|-4.73|4.73|4.68|-4.62|4.55|4.48|-4.44|4.35|4.31
PBX1	191	0.0014	0.519	0.9747	MTHFS|SLC25A16|RRN3|CAMSAP1L1|DKK4|LCP1|HYAL3|CASP8|HOXC6|GRLF1|GATA4|PGAP1|WIPI1|PCDHGA12|NFYC|ZNF354A|LYN|TMEM66|ALDH5A1|ATP1A1	32|36|77|115|126|126|202|248|280|327|344|373|426|438|494|494|558|580|590|590	5.75|5.72|5.48|5.31|-5.28|5.28|4.99|4.84|4.75|4.65|4.62|4.54|4.44|-4.41|4.29|-4.29|-4.17|4.14|-4.12|4.12
TEAD3	261	0.0012	0.523	0.9747	CLTA|MTF1|KCNAB2|TSN|MTHFD2|CLEC11A|UTF1|CLCN7|ERH|ACOT7|PLXNA2|ZEB2|KRT5|APBB1|SC4MOL|ITGB3|ARCN1|ZMIZ2|MDH1|DOK2	28|39|52|61|75|82|115|126|142|146|156|222|257|275|307|348|426|432|472|503	5.8|5.71|5.59|5.55|-5.49|5.45|5.31|5.28|-5.21|-5.17|5.14|4.91|-4.81|4.76|4.7|-4.61|-4.44|-4.43|4.33|-4.27
ZNF273	153	0.0016	0.527	0.9747	RAB3GAP2|AAMP|DKK4|RANBP6|TNFAIP3|TTF1|BMPR2|FCHSD2|SEPT7|ADM|ZNF254|ERCC3|DUSP2|SLC25A44|SMARCB1|MT2A|LNPEP|ZNF24|MLLT11|PAM	54|91|126|137|184|234|244|358|382|388|426|566|631|678|706|721|833|875|909|929	5.58|5.41|-5.28|5.23|5.05|4.88|-4.85|-4.58|4.52|4.51|4.44|-4.16|4.05|-3.98|3.94|-3.92|-3.74|-3.69|3.66|3.63
TLX2	225	0.0013	0.527	0.9747	COX10|ABCD4|KCNA3|ATP6V0C|DKK4|ACADL|KLF5|KIF3B|STXBP3|NCOA1|SERPINA5|OVGP1|KLK3|GATA4|ACP5|TKTL1|WDR45L|PCDHGA12|GALNS|SEC23B	4|10|70|100|126|129|142|161|244|257|275|312|321|344|376|432|436|438|442|479	6.37|6.12|5.51|-5.38|-5.28|-5.27|5.21|5.12|-4.85|4.81|4.76|4.69|4.66|4.62|-4.53|-4.43|4.42|-4.41|4.39|-4.31
ZRSR2	332	0.0012	0.528	0.9747	LDHA|MTF1|RDBP|MTHFD2|BCL2|TTLL12|ERH|KLF5|RBM39|VDAC2|ZBTB16|SNRNP40|MAT2A|SOD1|RNF41|ADAM28|NCOA1|PMPCA|SNRPC|POLD3	5|39|70|75|106|117|142|142|142|144|190|199|219|234|248|257|257|257|261|269	6.34|5.71|5.51|-5.49|5.34|5.3|-5.21|5.21|5.21|-5.19|5.02|5|4.92|-4.88|-4.84|4.81|4.81|-4.81|4.79|4.77
KLF1	268	0.0013	0.53	0.9747	TXNL4A|TFF2|SLC25A16|LOC100129361|NCKAP1L|SORBS2|E2F3|POLD3|SERPINA5|C9|GYPE|GYS2|FLT3|ADM|CAP2|ALDOC|IGF1|UGT2B7|ATXN2L|TAL1	12|22|36|77|82|96|244|269|275|280|307|307|369|388|392|407|415|426|445|459	6.1|5.88|5.72|5.48|-5.45|-5.39|4.85|4.77|4.76|4.75|4.7|4.7|4.55|4.51|4.5|4.47|-4.46|4.44|4.38|4.35
CREB1	361	0.0012	0.53	0.9747	ZBTB43|CSNK1D|MTF1|DENND5A|AAMP|RRP12|SLC25A36|ENDOD1|CFDP1|POLR2F|VDAC2|TTLL3|SCCPDH|SETD3|POLD4|SAT1|M6PR|ARID4A|LMAN2|GOSR1	11|20|39|46|91|110|110|117|126|139|144|146|179|179|186|190|202|209|284|307	6.11|5.94|5.71|5.67|5.41|5.33|-5.33|-5.3|-5.28|5.22|-5.19|5.17|5.06|5.06|5.04|5.02|-4.99|4.96|4.74|4.7
ATF3	251	0.0013	0.532	0.9747	KCNA3|VPRBP|DST|RBM39|KIAA0040|GTF2I|TNFAIP3|USPL1|SEC62|APBB1|BST1|ZNF318|ID2|CAPG|OAS1|ADM|ICAM1|TIMELESS|OAS2|COL18A1	70|91|112|142|168|172|184|236|269|275|275|312|344|376|382|388|485|524|529|547	5.51|-5.41|5.32|5.21|-5.1|-5.08|5.05|4.87|4.77|4.76|4.76|4.69|4.62|4.53|4.52|4.51|4.3|-4.23|4.22|-4.18
SNAPC2	176	0.0015	0.535	0.9747	TFF2|PTCH1|WISP2|DST|BBOX1|TULP1|GRAP2|RHOQ|MXRA5|PLEK|LGR5|PCDHGA12|S100A1|RHBDL1|CACNA2D1|C18orf25|CASP9|MYOG|UNC13B|RABL3	22|47|87|112|137|152|207|293|362|382|402|438|442|467|633|639|779|789|789|790	5.88|5.63|5.42|5.32|5.23|5.15|4.97|-4.72|4.57|-4.52|-4.48|-4.41|4.39|4.34|-4.04|-4.03|3.85|3.84|3.84|-3.83
SMAD4	275	0.0012	0.537	0.9747	AMH|MTMR11|U2AF2|CAMTA1|WISP2|VPRBP|ENDOD1|ACADL|PRKAA2|KLF5|THUMPD1|HSPA13|MAT2A|PMVK|EIF5|PTPRN2|JUP|SEPT7|TKTL1|ST20	9|25|49|80|87|91|117|129|135|142|160|184|219|228|293|333|348|382|432|436	6.23|-5.84|-5.62|5.46|5.42|-5.41|-5.3|-5.27|5.24|5.21|5.13|-5.05|4.92|-4.9|-4.72|4.64|4.61|4.52|-4.43|4.42
BBX	181	0.0014	0.54	0.9747	CLPS|SORBS2|GOLGB1|TIMP1|DST|SRRT|SPAG9|PLXNA2|BLVRB|PLIN2|KRT5|STARD13|SLC26A2|DOK1|MXRA5|LGR5|ASAP2|SKIV2L2|ABP1|RASA2	49|96|100|100|112|120|135|156|179|222|257|269|327|351|362|402|418|426|467|485	5.62|-5.39|-5.38|-5.38|5.32|5.29|5.24|5.14|-5.06|4.91|-4.81|4.77|-4.65|-4.6|4.57|-4.48|4.45|4.44|-4.34|-4.3
TCF20	180	0.0014	0.545	0.9747	MTF1|TNFRSF8|PLXNA2|THUMPD1|SCCPDH|TNKS|POLD3|CEP68|GALNS|IVD|AEBP1|MXRA7|POLR3F|VGLL4|PRKAG1|TAF1B|TRAPPC3|ERC1|MED1|CASP9	39|103|156|160|179|228|269|364|442|472|543|547|566|566|618|655|655|756|771|779	5.71|5.36|5.14|5.13|5.06|4.9|4.77|4.56|4.39|-4.33|-4.19|-4.18|4.16|-4.16|-4.07|-4.01|4.01|3.88|-3.86|3.85
DUX1	364	0.0012	0.545	0.9747	KRT33A|KCNAB2|RFK|ABCC10|PTPRCAP|THOC2|UTF1|BBOX1|PLXNA2|RPL38|RPS17|HSPA13|PMF1|SLC25A12|GFPT2|KIF3A|SOD1|NR1D1|GYS2|CD3G	25|52|63|75|96|115|115|137|156|168|176|184|186|194|199|219|234|244|307|327	5.84|5.59|5.54|5.49|5.39|5.31|5.31|5.23|5.14|-5.1|5.07|-5.05|5.04|5.01|-5|4.92|-4.88|4.85|4.7|4.65
CBX2	193	0.0014	0.546	0.9747	BCL2|CAMSAP1L1|UTF1|NADK|BTAF1|SEC22B|FCGR3A|GOSR1|MRPS11|FCHSD2|TUSC3|CAP2|LGR5|C11orf51|IGF1|IVD|SEC23B|C7|HNRNPD|ACOT13	106|115|115|120|160|259|269|307|307|358|362|392|402|415|415|472|479|604|604|639	5.34|5.31|5.31|-5.29|5.13|4.8|4.77|4.7|-4.7|-4.58|4.57|4.5|-4.48|4.46|-4.46|-4.33|-4.31|4.1|-4.1|4.03
ZNF451	244	0.0012	0.546	0.9747	PIK3C3|PBX2|NSMAF|NCKAP1L|GOLGB1|TIMP1|SLC25A36|POLR2F|RBM39|HADHA|ARID4A|PIGH|TTF1|USPL1|CASP8|RNF41|BANF1|NRD1|USP24|JOSD1	39|46|52|82|100|100|110|139|142|152|209|228|234|236|248|248|293|297|297|307	5.71|5.67|5.59|-5.45|-5.38|-5.38|-5.33|5.22|5.21|5.15|4.96|-4.9|4.88|4.87|4.84|-4.84|4.72|4.71|4.71|4.7
E2F4	455	0.001	0.548	0.9747	TRIM25|PTCH1|U2AF2|KCNAB2|CAMSAP1|HOMER2|WISP2|AAMP|RAD23B|SLC25A36|PLXNA2|THUMPD1|TRIM29|SETD3|ETS2|WDR46|EIF5|RHOQ|ZFPL1|KLK3	8|47|49|52|61|87|87|91|100|110|156|160|169|179|184|216|293|293|319|321	6.26|5.63|-5.62|5.59|5.55|5.42|5.42|5.41|5.38|-5.33|5.14|5.13|5.09|5.06|5.05|-4.93|-4.72|-4.72|-4.67|4.66
ZFPL1	221	0.0013	0.549	0.9747	PIK3C3|TSN|RFK|LOC100129361|ST5|ATP6V0C|HLA-DMA|THOC2|THUMPD1|LRRC32|TCERG1|PMF1|SLC25A12|PIGH|TAF6L|HMGB1|TUSC3|CDH18|CAPG|STK25	39|61|63|77|93|100|110|115|160|164|172|186|194|228|228|293|362|369|376|450	5.71|5.55|5.54|5.48|5.4|-5.38|5.33|5.31|5.13|5.11|-5.08|5.04|5.01|-4.9|4.9|-4.72|4.57|-4.55|4.53|4.37
HIVEP1	222	0.0012	0.553	0.9747	PTPRCAP|SUPT5H|SAT1|NFX1|PIGH|TAF6L|APBB1|DHCR24|AUH|ISCA1|UVRAG|ICAM1|ANKRD40|AEBP1|LYN|LST1|RNMT|S100P|SPTAN1|ARID5B	96|184|190|228|228|228|275|275|362|402|436|485|494|543|558|692|711|736|756|779	5.39|5.05|5.02|4.9|-4.9|4.9|4.76|4.76|-4.57|4.48|-4.42|4.3|-4.29|-4.19|-4.17|-3.96|-3.93|-3.9|3.88|3.85
ZNF549	208	0.0013	0.554	0.9747	POP5|LDHA|CLTA|KCNA3|HOXD13|MGST3|TPP1|PLXNA2|LRRC32|R3HDM1|FCHSD2|PLEK|RPS6KA3|ARCN1|GALNS|LIG1|TBXAS1|HEXB|HMGA2|STC2	2|5|28|70|72|91|101|156|164|251|358|382|388|426|442|459|499|566|580|692	6.45|6.34|5.8|5.51|5.5|5.41|5.37|5.14|5.11|4.83|-4.58|-4.52|4.51|-4.44|4.39|4.35|-4.28|4.16|-4.14|-3.96
PTTG1	503	0.001	0.558	0.9747	TXNL4A|VPS13D|CLTA|MANF|MTHFS|ADA|ARPC2|ALDH9A1|BCL2|UBE2L3|HLA-DMA|UTF1|CLK1|ATP5C1|FMNL1|PMF1|KLC1|ZEB2|ADD1|ARNTL	12|15|28|30|32|43|54|61|106|106|110|115|135|160|168|186|205|222|234|236	6.1|6.05|5.8|5.77|5.75|5.68|5.58|5.55|5.34|-5.34|5.33|5.31|5.24|5.13|5.1|5.04|4.98|4.91|4.88|-4.87
CEBPG	286	0.0011	0.56	0.9747	POP5|SPON1|DENND5A|CLK1|ERH|TTLL3|TULP1|IDH3G|DYNLT3|ABCB9|UBA7|ARNTL|GYPE|SNX27|C11orf49|HP|AUH|ISCA1|IGF1|ST20	2|16|46|135|142|146|152|172|194|199|199|236|307|333|351|352|362|402|415|436	6.45|-6.04|5.67|5.24|-5.21|5.17|5.15|-5.08|5.01|5|-5|-4.87|4.7|-4.64|4.6|4.59|-4.57|4.48|-4.46|4.42
MLL4	426	0.0011	0.56	0.9747	ABCD4|CPT1B|RPL12|KCNA3|CLEC11A|NCKAP1L|IFI35|RPS19|DRG1|FMNL1|RPL38|RPS17|SUPT5H|RPIA|UBA7|LYPLA1|PMVK|WDR73|STARD13|NR2C1	10|21|31|70|82|82|103|148|152|168|168|176|184|190|199|222|228|253|269|312	6.12|5.9|5.76|5.51|5.45|-5.45|5.36|5.16|5.15|5.1|-5.1|5.07|5.05|5.02|-5|4.91|-4.9|-4.82|4.77|4.69
MORC2	200	0.0013	0.562	0.9747	WNT10B|GATA3|TFF2|MTHFD2|RAD23B|ABCB9|E2F3|POLD1|PMPCA|CREG1|HIST1H2AH|AOX1|DOK1|CDH18|MCM4|PCDHGA12|TTI1|ZBTB48|BRCA1|MPPE1	8|19|22|75|100|199|244|253|257|307|316|351|351|369|407|438|450|479|586|610	6.26|5.95|5.88|-5.49|5.38|5|4.85|4.82|-4.81|4.7|4.68|-4.6|-4.6|-4.55|4.47|-4.41|-4.37|-4.31|4.13|-4.08
SMAD5	195	0.0014	0.568	0.9747	MTHFS|BPGM|RDBP|SLC2A3|SRRT|GTF2I|PMVK|TNKS|WDR73|STARD13|UBFD1|SLC26A2|KDM6B|SCAMP1|GALNT1|TIMELESS|DYNC1H1|RFC1|IKZF1|LMO1	32|43|70|91|120|172|228|228|253|269|316|327|373|392|485|524|529|529|536|558	5.75|5.68|5.51|5.41|5.29|-5.08|-4.9|4.9|-4.82|4.77|-4.68|-4.65|-4.54|4.5|-4.3|-4.23|4.22|-4.22|-4.2|4.17
SPEN	197	0.0014	0.57	0.9747	ZC3H4|RDBP|ATP6V0C|ENSA|BTAF1|WNT5A|MRPS11|UBL4A|SLC1A3|ZNF273|MNT|ATXN2L|DHX9|SPTB|SCHIP1|HIST1H2AD|CRABP1|DIDO1|FCHO1|KIAA0494	4|70|100|112|160|248|307|333|338|397|442|445|456|509|558|610|618|624|692|695	6.37|5.51|-5.38|5.32|5.13|-4.84|-4.7|-4.64|4.63|-4.49|4.39|4.38|-4.36|-4.26|4.17|4.08|-4.07|4.06|-3.96|3.95
NFRKB	296	0.0011	0.572	0.9747	BTBD3|PTCH1|ALDH9A1|CAMSAP1|NCKAP1L|VPRBP|EXTL1|ENSA|THOC2|SRRT|VWA5A|BCAS1|ARHGAP6|SUPT5H|ARNTL|STARD13|SRGN|ZNF318|SPRY2|KLK3	39|47|61|61|82|91|106|112|115|120|129|143|148|184|236|269|312|312|316|321	-5.71|5.63|5.55|5.55|-5.45|-5.41|-5.34|5.32|5.31|5.29|5.27|-5.2|5.16|5.05|-4.87|4.77|-4.69|4.69|-4.68|4.66
TBX1	200	0.0012	0.574	0.9747	BDNF|BUB3|CLEC11A|KLF5|ARHGAP6|RNF167|SCCPDH|SERPINB6|CTNND1|HBXIP|R3HDM1|LPHN3|SERPINA5|MYO1B|DBF4|ZFPL1|CDKN1B|STK16|CBARA1|ZNF354A	27|70|82|142|148|160|179|194|216|234|251|259|275|280|307|319|407|418|456|494	5.81|5.51|5.45|5.21|5.16|5.13|5.06|5.01|-4.93|-4.88|4.83|-4.8|4.76|-4.75|4.7|-4.67|-4.47|4.45|-4.36|-4.29
MTF2	507	9e-04	0.575	0.9747	CSNK1D|SLC25A16|KIAA0141|BPGM|CLPS|KIAA0182|RAB3GAP2|RIN2|SORBS2|THOC2|B4GALT6|PRKAA2|BTAF1|LRRC32|BLVRB|TMSB15A|RPIA|MAT2A|TNKS|CNPY3	20|36|40|43|49|52|54|72|96|115|120|135|160|164|179|184|190|219|228|248	5.94|5.72|5.69|5.68|5.62|5.59|5.58|-5.5|-5.39|5.31|5.29|5.24|5.13|5.11|-5.06|-5.05|5.02|4.92|4.9|-4.84
